"TipLabel"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"Campodea_fragilis"	"Animalia"	"Arthropoda"	"Diplura"	"Rhabdura"	"Campodeidae"	"Campodea"	"Campodea fragilis"
"Japyx_solifugus"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Japygidae"	"Japyx"	"Japyx solifugus"
"Spinactaletes_boneti"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Actaletidae"	"Spinactaletes"	"Spinactaletes boneti"
"Coecobrya_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Coecobrya"	"Coecobrya sp."
"Entomobrya_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Entomobrya"	"Entomobrya sp."
"Homidia_koreana"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Homidia"	"Homidia koreana"
"Homidia_socia"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Homidia"	"Homidia socia"
"Lepidocyrtoides_caeruleomaculatus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Lepidocyrtoides"	"Lepidocyrtoides caeruleomaculatus"
"Lepidocyrtoides_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Lepidocyrtoides"	"Lepidocyrtoides sp."
"Lepidosira_calolepis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Lepidosira"	"Lepidosira calolepis"
"Lepidosira_neotropicalis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Lepidosira"	"Lepidosira neotropicalis"
"Sinella_curviseta"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Sinella"	"Sinella curviseta"
