ASV	cluster	rep_asv
d73ab85dcac26097d0fa2770d701fef1	Cicadellidae_cluster151	eca6641e3d8bc6155800aa712ffd1cf3
edc20caa7889dbcfca064aad691f60a1	Chloropidae_cluster14	be025a0b98ab01f9697fc7d6e8b2ced1
832835b85d4b43757344c7add33a4166	Hydrophilidae_cluster1	c4500eb69ebd9cc7752877ec2225c82f
c240a30a54a9bfe4b0ecaac8015673a9	Mycetophilidae_cluster593	f4780c67197f438450d9ad81c840ac40
e48ef939762e3062312fbf941f447a8e	Chironomidae_cluster875	8dc1687093f151135e65a1e159feba3d
be19cbb7c79cadfe2f7b307f7167a851	Simuliidae_cluster16	be19cbb7c79cadfe2f7b307f7167a851
edb66b5bb6a895ae6bd378e5d17a2fe1	Chironomidae_cluster42	edb66b5bb6a895ae6bd378e5d17a2fe1
970f14d5a59e05f4e94e8f0d8789e3db	Chrysomelidae_cluster145	970f14d5a59e05f4e94e8f0d8789e3db
7cfac0fe9c5d851eee24ac80d0c9eb59	Muscidae_cluster202	7cfac0fe9c5d851eee24ac80d0c9eb59
ef82bfdeb036f0d91060a8cc4ffc55c7	Clusiidae_cluster5	ef82bfdeb036f0d91060a8cc4ffc55c7
0fe6dfe2c5329f5d94412b5166cff3c7	Phoridae_cluster299	ed5cedc8118407b1d9239ab044144b48
c7bc1568a23fc8dbbfc8a39ef21e139c	Curculionidae_cluster10	b0cc2f479610649ec9f9264e26665fc8
96b227a2538d6addb9633c3ffb50b6e1	Linyphiidae_cluster8	96b227a2538d6addb9633c3ffb50b6e1
28e73f1e772845594524d6dbc63b3039	Latridiidae_cluster5	caf246532a87c3bbb8ef2513e9e1f1ce
9ad41941c2b8a08acaf368c5f7b32157	Mycetophilidae_cluster388	89dafeb2ab100d7c31bbd64972545c61
ccc60650dbbee54a1b7a9f577d3bfbb6	Gelechiidae_cluster62	2694d687d1c3a39bd2c7cce302af9158
60ffa3a0d1dd83dfe09a3195fca1df22	Dolichopodidae_cluster123	60ffa3a0d1dd83dfe09a3195fca1df22
8cb2ceefcb2335c6d5d9208fc7159548	Ephydridae_cluster21	48d3e897405e093bf3b9d3dc92ce3cbb
801eefc67ffee3b088c9a46f9f0191cf	Psychodidae_cluster32	0badc20cee1f0cfe21639d6210eb2946
2a0df9a08a010ab5ee50be9cc86d8459	Heleomyzidae_cluster18	05b91c71d6acbea9d2b427b7735459c9
ebfcf80207d400c95d3d9e759fbcfc87	Tenthredinidae_cluster55	6eb32550ba3c3f7dae5c2352b9577df5
1af73c0b84a9a0111799d94f9f0fecba	Staphylinidae_cluster59	1af73c0b84a9a0111799d94f9f0fecba
1626afe91133642fbbcf327c7a33ee88	Noctuidae_cluster79	dc0ca3c3ce7538020beb1797d56c0077
a0888146bd63e4a38419a5e11a9d03ea	Ichneumonidae_cluster712	a0888146bd63e4a38419a5e11a9d03ea
0234a6e82f8cfb674cb6c6a65121fe04	Ameronothridae_cluster1	0234a6e82f8cfb674cb6c6a65121fe04
7b57dd25bff64d6fa45575dd945a8e5a	Incurvariidae_cluster13	7b57dd25bff64d6fa45575dd945a8e5a
dfa746581f9274507a9e4e75e5e96521	Asilidae_cluster3	dfa746581f9274507a9e4e75e5e96521
827892396a7232f3a764ec3afdc74a1a	Leiodidae_cluster21	827892396a7232f3a764ec3afdc74a1a
3b663ca9f5eb8a5113da178d4192b5b6	Pisauridae_cluster2	7e40ba6646c5431ad5c7e7b499ce379e
be3a7d07b3d0d7c8ea645e67733adf31	Staphylinidae_cluster350	be3a7d07b3d0d7c8ea645e67733adf31
9d78f215c116457be84c086329be6ab3	Ichneumonidae_cluster79	9d78f215c116457be84c086329be6ab3
7ea52b1211b1c246a14be6bf946e5665	Tephritidae_cluster4	7ea52b1211b1c246a14be6bf946e5665
9afc215e85622334e24ea9c2f1c6f026	Melyridae_cluster1	d1c8091cbf803e06bd00db0540237f95
71a7415004a19be3b703b7d1cc553e90	Chironomidae_cluster529	3f96daa559cb1d99e7d7f68b90f4a38a
902edcf75e55787c364dfc8dabb7148e	Gelechiidae_cluster17	902edcf75e55787c364dfc8dabb7148e
