"Family"	"Order"	"Known_2017"	"Estimated"	"prop_known"
"Acanthococcidae"	"Hemiptera"	8	12	0.666666666666667
"Acanthosomatidae"	"Hemiptera"	8	8	1
"Acartophthalmidae"	"Diptera"	3	3	1
"Acerentomidae"	"Protura"	1	3	0.333333333333333
"Achilidae"	"Hemiptera"	2	2	1
"Acrididae"	"Orthoptera"	22	22	1
"Acroceridae"	"Diptera"	4	4	1
"Adelgidae"	"Hemiptera"	16	16	1
"Adelidae"	"Lepidoptera"	21	24	0.875
"Aderidae"	"Coleoptera"	8	8	1
"Aeolothripidae"	"Thysanoptera"	11	15	0.733333333333333
"Aeshnidae"	"Odonata"	13	13	1
"Agromyzidae"	"Diptera"	318	340	0.935294117647059
"Agyrtidae"	"Coleoptera"	3	3	1
"Alexiidae"	"Coleoptera"	1	1	1
"Aleyrodidae"	"Hemiptera"	12	14	0.857142857142857
"Alucitidae"	"Lepidoptera"	3	3	1
"Alydidae"	"Hemiptera"	1	1	1
"Ameletidae"	"Ephemeroptera"	2	2	1
"Amphipsocidae"	"Psocoptera"	1	1	1
"Ampulicidae"	"Hymenoptera"	1	2	0.5
"Andrenidae"	"Hymenoptera"	64	69	0.927536231884058
"Anisolabididae"	"Dermaptera"	1	1	1
"Anisopodidae"	"Diptera"	7	7	1
"Anoeciidae"	"Hemiptera"	6	7	0.857142857142857
"Anthicidae"	"Coleoptera"	17	17	1
"Anthocoridae"	"Hemiptera"	35	36	0.972222222222222
"Anthomyiidae"	"Diptera"	340	360	0.944444444444444
"Anthomyzidae"	"Diptera"	19	22	0.863636363636364
"Anthribidae"	"Coleoptera"	16	16	1
"Apataniidae"	"Trichoptera"	9	9	1
"Aphalaridae"	"Hemiptera"	20	22	0.909090909090909
"Aphelinidae"	"Hymenoptera"	36	50	0.72
"Aphelocheiridae"	"Hemiptera"	1	1	1
"Aphididae"	"Hemiptera"	373	403	0.925558312655087
"Aphrophoridae"	"Hemiptera"	9	10	0.9
"Apidae"	"Hymenoptera"	92	96	0.958333333333333
"Apionidae"	"Coleoptera"	82	85	0.964705882352941
"Aradidae"	"Hemiptera"	21	22	0.954545454545455
"Argidae"	"Hymenoptera"	20	25	0.8
"Argyresthiidae"	"Lepidoptera"	27	28	0.964285714285714
