"Order"	"Known_2017"	"Estimated"	"prop_known"
"Archaeognatha"	3	3	1
"Blattodea"	24	43	0.558139534883721
"Coleoptera"	4706	4916	0.957282343368592
"Collembola"	300	353	0.84985835694051
"Dermaptera"	5	6	0.833333333333333
"Diplura"	5	5	1
"Diptera"	8038	10236	0.78526768268855
"Ephemeroptera"	60	66	0.909090909090909
"Hemiptera"	1831	1941	0.94332818134982
"Hymenoptera"	8523	11100	0.767837837837838
"Lepidoptera"	2866	2988	0.959170013386881
"Mecoptera"	6	7	0.857142857142857
"Megaloptera"	5	6	0.833333333333333
"Neuroptera"	65	74	0.878378378378378
"Odonata"	63	63	1
"Orthoptera"	42	42	1
"Phthiraptera"	281	431	0.651972157772622
"Plecoptera"	37	39	0.948717948717949
"Protura"	4	9	0.444444444444444
"Psocoptera"	73	84	0.869047619047619
"Raphidioptera"	4	5	0.8
"Siphonaptera"	63	85	0.741176470588235
"Strepsiptera"	7	13	0.538461538461538
"Thysanoptera"	145	186	0.779569892473118
"Trichoptera"	225	238	0.945378151260504
"Zygentoma"	3	3	1
