ASV	bitscore
645e348419e5fa8a9b9386ab992f8664	230.0
34dc74e728255c8185d08587ee2751bc	227.1
d87fb0da7664f8cc644c78087da43367	259.5
a7081de0ecea21c4fedaf84e6bf14ad6	235.5
113653447f555f4bb35f851ea082661f	239.6
6293a6e75a9380bcb115cbd48789c371	257.9
37c7d57b48fe98f9acb965a1ccfab395	259.4
4a3bc8bca3999342d8c4b5aa89b62756	261.2
5070eb8273bca57d1fd56de793a07d8b	260.7
c985f47e2cda6cf87c766156110fef0e	261.5
8fd1d9253037bbc323fe66ed24c2124e	261.5
daa9b2b8da02de8596e6731c3d089636	261.2
8f695598adfd32ba1061890dc8afae39	261.3
42a13e26eced52701dd4b60ad780c1d4	261.5
ae6a0f26beb60e50bf4507890ea90d56	261.5
b2ead23f5c68d96f7b1c2031acc8d5a6	261.5
3a281c7784ace8e070773437e3939dfb	261.5
053e635ae73897a67fdc21de36e2346e	262.4
39de584745bd379cc7461396f916b53e	197.0
c7ed420e6c34ab187968ffa4e1eabcb8	224.1
03b3798ebacc0ab1c649eafbe739f704	260.4
7fefcdbc2d1e3e179d54724c83190d91	223.7
b8bb3abb5a3f33ae0b4450cb51a2e88a	259.3
4f6615802022f5b8eff6cc8874af1b64	197.3
5c7616f0b070b5a411b60634f4f96113	196.8
ac55cb68560d43137703fd3dd7898f29	220.9
a44786da3eb890f73e7d0b5333bc1aee	260.8
2ace77be0109c03b022db0b7f1a107bf	257.1
11b5ee9d32d8a5ad8559afec147f5192	257.4
b89e6ac8b9ac5747ad105fd7d216c177	261.3
7784088f73ab9c572f605aa14902cebc	257.9
ef328be18b72d1d597580a47c18f5e60	255.6
5d1cd711f5dde5d4f77e290f0f5ff956	256.3
4e3b60902187063a6b43fd9f240494d9	254.0
6c442eec86bacb89de43a7ce63065355	245.5
8ef7d8699a6e3047c4618ca4546158e5	257.4
089ba876a0777bb7286689befba13374	257.9
925ebf11187db20459b7c352df859344	257.9
aae80b6726de9e6210ba193b9a8346fd	254.5
d985b01eab2a6d13d4509f11ba8c1fd7	241.6
019d2a68340a1e6d9b6b663e6f58b7fd	240.9
e610f8396671010d22a26ec311fbe701	242.9
87dbac9dee4226bb8b096c47427610ab	243.2
f3d999e9b3f9fb9f859685ba57f1340b	242.6
d9f52aa40de0e2df4355a37b2dc7e241	241.4
ab1703b9c7dca340de588aff0026d210	243.3
348753d3fb713cf387b3b18392b8342a	238.5
c55a4b50fac48c285ad3d1247816e727	240.8
1182d0feb271f8772599a420039a149c	243.4
7306d2c77d3e056553e83ec0f7b59dd9	242.5
c7c8f3517194bf61b8fbdb669055172b	243.3
0b3916c603bc389591ea5442fd8ff2ab	243.5
9ad5a767b0d5ebc43686b3d59288ba22	241.5
3f37f10a47f3d71389811143c721b7c7	240.9
eb0f04c3fd0ab1df6d7df9529ef23dbf	242.1
e6f18d220414405b80a85a1912e774f6	241.4
f41a5f11035b009059515d891ce0d1c3	242.8
fdcd45eebf217b067dca106dd47fd748	240.7
25ed78b2ca211d8099da859f0c7d2ba2	242.4
5d435783900b55e413459a7266910646	236.3
9e64ab1eeec0e7e6497d62a0a9d7a50c	241.6
35db0b8afe47df9e263403492707a1f8	240.9
44feab40ef8532bd6eef30ddd90c327a	225.9
fd23bb1bc0fc0ba598e54622c6841aef	252.0
1ce1bf3116f888ab7b483e9ce6dbee99	234.0
83668306966440239242960d0f102bb5	243.2
5ebb97d2712ef659519b522c651693ba	249.4
d779df65c5ce2adf4045ac37876ed78f	254.0
6b0db07474d2fbf00037c8bebc8b803c	252.9
561f270c127d3dd15d65b18f884585d0	252.4
44df6026bfca13ca59772358fc943593	252.7
7f2ee2ac3332b70505afa1082babf04c	247.2
8b521e51c2272642c5a4ab11f95e5373	250.8
0043115c023a616869a6241ab9b4f065	252.9
046558d65012f0364343e50e29794052	251.8
903574a630c5d7c0094ce26fa4270d1d	252.9
3443f273866fef310b19a73e0cf35839	253.7
7fca8ac78d1ae6e3c58042a782f03c00	255.0
f5339a01d327fa745eb79a7e342f2ec9	251.1
e836114216219f8056b61ce18e730e86	242.3
f8d99caf72841b79c9e44098d697e702	251.8
6de0a0720f6649aa64792fdb0cb6679e	251.4
a1ef9c3e290fb1aa8d72fcb5a09121b0	252.9
46fce4b2d26c703fcb8738f9ccefed81	251.0
6162cce988b5ae6806198f7214eaa260	252.9
2b3b3c61dfe9c52623cdea2d082f2465	253.5
c5a3de846b8d56ecff4604e574ff0539	253.5
027a5cf1d7f0a3a4be02600a16728a53	253.8
10dc2ae8e702be195b483fa2ed5d9fb5	254.0
3df33c82d01708a3e633ba00f924f454	251.7
5aec0470b9ee057e06ebeec2987b339f	254.4
11b33b7f9ae1534559c4238d9950f375	253.7
d3ba949340de7661c5112c35d7253245	251.8
cc863c34448b4d836c982057ea74dd84	251.8
66696bd3574c79005a5e8597342084c3	250.8
0318b61e2d85b5d7914bce1c4c23bf36	252.8
