cluster	numt
unclassified.Archaeognatha_cluster1	FALSE
unclassified.Archaeognatha_cluster2	TRUE
unclassified.Archaeognatha_cluster3	TRUE
unclassified.Archaeognatha_cluster4	TRUE
unclassified.Archaeognatha_cluster5	TRUE
unclassified.Archaeognatha_cluster6	TRUE
unclassified.Archaeognatha_cluster7	TRUE
unclassified.Archaeognatha_cluster8	TRUE
Blattidae_cluster1	FALSE
unclassified.Blattodea_cluster1	TRUE
unclassified.Blattodea_cluster2	TRUE
Ectobiidae_cluster1	FALSE
Blattodea_X_cluster1	TRUE
Ectobiidae_cluster2	TRUE
Ectobiidae_cluster3	TRUE
unclassified.Blattodea_cluster3	TRUE
Blattodea_X_cluster2	FALSE
unclassified.Blattodea_cluster4	TRUE
Ectobiidae_cluster9	TRUE
Ectobiidae_cluster4	TRUE
Ectobiidae_cluster8	TRUE
Ectobiidae_cluster10	FALSE
unclassified.Blattodea_cluster5	TRUE
unclassified.Blattodea_cluster6	TRUE
Blaberidae_cluster1	FALSE
Blattidae_cluster2	TRUE
Ectobiidae_cluster5	TRUE
Blattidae_cluster3	TRUE
Ectobiidae_cluster6	TRUE
Ectobiidae_cluster17	TRUE
Blattidae_cluster4	TRUE
Blattidae_cluster5	TRUE
Ectobiidae_cluster7	TRUE
Ectobiidae_cluster11	TRUE
Ectobiidae_cluster12	TRUE
Ectobiidae_cluster13	TRUE
Ectobiidae_cluster14	TRUE
Ectobiidae_cluster15	TRUE
Ectobiidae_cluster16	TRUE
Ectobiidae_cluster18	TRUE
Ectobiidae_cluster19	TRUE
Blattidae_cluster6	TRUE
unclassified.Blattodea_cluster7	TRUE
unclassified.Blattodea_cluster8	TRUE
Latridiidae_cluster1	FALSE
Curculionidae_cluster8	FALSE
Lymexylidae_cluster1	FALSE
Chrysomelidae_cluster1	FALSE
Staphylinidae_cluster2	FALSE
Latridiidae_cluster4	FALSE
Staphylinidae_cluster3	FALSE
Scraptiidae_cluster1	FALSE
Cantharidae_cluster9	FALSE
Coccinellidae_cluster3	FALSE
Coccinellidae_cluster4	FALSE
Scirtidae_cluster4	FALSE
Elateridae_cluster2	FALSE
Brentidae_cluster1	FALSE
Scraptiidae_cluster2	FALSE
Cantharidae_cluster12	FALSE
Latridiidae_cluster7	FALSE
Coccinellidae_cluster1	FALSE
Cantharidae_cluster3	FALSE
Scraptiidae_cluster3	FALSE
Scraptiidae_cluster4	FALSE
Cantharidae_cluster30	FALSE
Throscidae_cluster2	FALSE
Cantharidae_cluster6	FALSE
Throscidae_cluster1	FALSE
Cantharidae_cluster11	FALSE
Scirtidae_cluster5	FALSE
Latridiidae_cluster5	FALSE
Staphylinidae_cluster77	TRUE
Staphylinidae_cluster20	FALSE
Curculionidae_cluster1	FALSE
Cantharidae_cluster1	FALSE
Staphylinidae_cluster14	FALSE
Elateridae_cluster1	FALSE
Staphylinidae_cluster9	FALSE
Scarabaeidae_cluster1	FALSE
Curculionidae_cluster10	FALSE
Tenebrionidae_cluster1	FALSE
Anthribidae_cluster1	FALSE
Scirtidae_cluster1	FALSE
Melyridae_cluster2	FALSE
Chrysomelidae_cluster4	FALSE
Curculionidae_cluster5	FALSE
Chrysomelidae_cluster10	FALSE
Chrysomelidae_cluster12	FALSE
Cantharidae_cluster14	FALSE
Staphylinidae_cluster67	FALSE
Sphindidae_cluster1	FALSE
Chrysomelidae_cluster5	FALSE
Corylophidae_cluster3	FALSE
Curculionidae_cluster17	FALSE
Corylophidae_cluster1	FALSE
Chrysomelidae_cluster3	FALSE
Tenebrionidae_cluster5	FALSE
Curculionidae_cluster16	FALSE
Cerambycidae_cluster1	FALSE
Coccinellidae_cluster23	FALSE
Cantharidae_cluster27	FALSE
Curculionidae_cluster4	FALSE
Staphylinidae_cluster28	FALSE
Chrysomelidae_cluster6	FALSE
Scirtidae_cluster3	FALSE
Chrysomelidae_cluster9	FALSE
Staphylinidae_cluster8	FALSE
Cantharidae_cluster4	FALSE
Cantharidae_cluster15	FALSE
Leiodidae_cluster4	FALSE
Curculionidae_cluster3	FALSE
Scirtidae_cluster2	FALSE
Curculionidae_cluster15	FALSE
Scraptiidae_cluster5	FALSE
Cleridae_cluster1	FALSE
Cantharidae_cluster13	FALSE
Cantharidae_cluster21	FALSE
Cantharidae_cluster5	FALSE
Curculionidae_cluster2	FALSE
Curculionidae_cluster22	FALSE
Cantharidae_cluster25	FALSE
Throscidae_cluster4	FALSE
Scraptiidae_cluster6	FALSE
Nitidulidae_cluster1	FALSE
Staphylinidae_cluster53	FALSE
Tenebrionidae_cluster2	FALSE
Monotomidae_cluster1	FALSE
Cantharidae_cluster2	FALSE
Melyridae_cluster1	FALSE
Coccinellidae_cluster19	FALSE
Curculionidae_cluster19	FALSE
Throscidae_cluster3	FALSE
Staphylinidae_cluster88	FALSE
Cantharidae_cluster36	FALSE
Chrysomelidae_cluster11	FALSE
Staphylinidae_cluster32	FALSE
Cantharidae_cluster23	FALSE
Scirtidae_cluster6	FALSE
Coccinellidae_cluster12	FALSE
Coccinellidae_cluster28	FALSE
Chrysomelidae_cluster21	FALSE
Cryptophagidae_cluster4	FALSE
Staphylinidae_cluster33	FALSE
Staphylinidae_cluster19	FALSE
Staphylinidae_cluster102	FALSE
Elateridae_cluster18	FALSE
Corylophidae_cluster4	FALSE
Chrysomelidae_cluster32	FALSE
Curculionidae_cluster6	FALSE
Chrysomelidae_cluster14	FALSE
Corylophidae_cluster6	FALSE
