cluster	numt
Accipitridae_cluster1	FALSE
Accipitridae_cluster2	FALSE
Albuginaceae_cluster1	FALSE
Artemiidae_cluster1	FALSE
Artemiidae_cluster2	FALSE
Anatidae_cluster1	FALSE
Anatidae_cluster2	FALSE
Anatidae_cluster3	FALSE
Hydridae_cluster1	FALSE
Bufonidae_cluster1	FALSE
Ranidae_cluster1	FALSE
Ranidae_cluster2	FALSE
Milnesiidae_cluster1	FALSE
Milnesiidae_cluster2	FALSE
Milnesiidae_cluster3	FALSE
Milnesiidae_cluster4	FALSE
Milnesiidae_cluster5	FALSE
Milnesiidae_cluster6	FALSE
Apodidae_cluster1	FALSE
Arachnida_XX_cluster1	FALSE
Arachnida_XX_cluster2	FALSE
Arachnida_XX_cluster3	FALSE
Agelenidae_cluster1	FALSE
Agelenidae_cluster2	FALSE
Agelenidae_cluster3	FALSE
Agelenidae_cluster4	FALSE
Amaurobiidae_cluster1	FALSE
Amaurobiidae_cluster2	TRUE
Anyphaenidae_cluster1	FALSE
Araneae_X_cluster1	FALSE
Araneae_X_cluster10	FALSE
Araneae_X_cluster2	FALSE
Araneae_X_cluster3	FALSE
Araneae_X_cluster4	FALSE
Araneae_X_cluster5	FALSE
Araneae_X_cluster6	FALSE
Araneae_X_cluster7	FALSE
Araneae_X_cluster8	FALSE
Araneae_X_cluster9	FALSE
Araneidae_cluster1	FALSE
Araneidae_cluster10	FALSE
Araneidae_cluster11	FALSE
Araneidae_cluster12	FALSE
Araneidae_cluster13	FALSE
Araneidae_cluster14	FALSE
Araneidae_cluster15	FALSE
Araneidae_cluster16	FALSE
Araneidae_cluster17	FALSE
Araneidae_cluster18	FALSE
Araneidae_cluster19	FALSE
Araneidae_cluster2	FALSE
Araneidae_cluster20	FALSE
Araneidae_cluster21	FALSE
Araneidae_cluster22	FALSE
Araneidae_cluster23	FALSE
Araneidae_cluster24	FALSE
Araneidae_cluster25	FALSE
Araneidae_cluster26	FALSE
Araneidae_cluster27	FALSE
Araneidae_cluster28	FALSE
Araneidae_cluster29	TRUE
Araneidae_cluster3	FALSE
Araneidae_cluster30	TRUE
Araneidae_cluster31	FALSE
Araneidae_cluster32	TRUE
Araneidae_cluster33	FALSE
Araneidae_cluster34	FALSE
Araneidae_cluster35	FALSE
Araneidae_cluster36	FALSE
Araneidae_cluster37	FALSE
Araneidae_cluster38	TRUE
Araneidae_cluster39	FALSE
Araneidae_cluster4	FALSE
Araneidae_cluster40	TRUE
Araneidae_cluster41	TRUE
Araneidae_cluster42	FALSE
Araneidae_cluster43	TRUE
Araneidae_cluster44	TRUE
Araneidae_cluster45	TRUE
Araneidae_cluster46	FALSE
Araneidae_cluster47	TRUE
Araneidae_cluster48	TRUE
Araneidae_cluster49	TRUE
Araneidae_cluster5	FALSE
Araneidae_cluster50	FALSE
Araneidae_cluster51	TRUE
Araneidae_cluster52	TRUE
Araneidae_cluster53	FALSE
Araneidae_cluster54	FALSE
Araneidae_cluster55	TRUE
Araneidae_cluster56	TRUE
Araneidae_cluster57	TRUE
Araneidae_cluster58	FALSE
Araneidae_cluster59	TRUE
Araneidae_cluster6	FALSE
Araneidae_cluster60	TRUE
Araneidae_cluster61	TRUE
Araneidae_cluster62	TRUE
Araneidae_cluster63	TRUE
Araneidae_cluster64	TRUE
Araneidae_cluster65	FALSE
Araneidae_cluster66	TRUE
Araneidae_cluster67	FALSE
Araneidae_cluster68	TRUE
Araneidae_cluster69	TRUE
Araneidae_cluster7	FALSE
Araneidae_cluster70	TRUE
Araneidae_cluster71	TRUE
Araneidae_cluster72	TRUE
Araneidae_cluster73	TRUE
Araneidae_cluster74	TRUE
Araneidae_cluster75	TRUE
Araneidae_cluster76	TRUE
Araneidae_cluster77	TRUE
Araneidae_cluster78	FALSE
Araneidae_cluster79	TRUE
Araneidae_cluster8	FALSE
Araneidae_cluster80	TRUE
Araneidae_cluster81	TRUE
Araneidae_cluster82	TRUE
Araneidae_cluster83	TRUE
Araneidae_cluster84	TRUE
Araneidae_cluster85	TRUE
Araneidae_cluster86	TRUE
Araneidae_cluster87	TRUE
Araneidae_cluster88	TRUE
Araneidae_cluster89	TRUE
Araneidae_cluster9	FALSE
Araneidae_cluster90	TRUE
Araneidae_cluster91	TRUE
Araneidae_cluster92	TRUE
Cheiracanthiidae_cluster1	FALSE
Cheiracanthiidae_cluster2	FALSE
Cheiracanthiidae_cluster3	FALSE
Clubionidae_cluster1	FALSE
Clubionidae_cluster10	FALSE
Clubionidae_cluster11	FALSE
Clubionidae_cluster12	FALSE
Clubionidae_cluster13	FALSE
Clubionidae_cluster14	FALSE
Clubionidae_cluster15	FALSE
Clubionidae_cluster16	FALSE
Clubionidae_cluster17	FALSE
Clubionidae_cluster18	FALSE
Clubionidae_cluster19	FALSE
Clubionidae_cluster2	FALSE
Clubionidae_cluster20	TRUE
Clubionidae_cluster21	TRUE
Clubionidae_cluster3	FALSE
Clubionidae_cluster4	FALSE
Clubionidae_cluster5	FALSE
Clubionidae_cluster6	FALSE
Clubionidae_cluster7	FALSE
Clubionidae_cluster8	FALSE
Clubionidae_cluster9	FALSE
Cybaeidae_cluster1	FALSE
Cybaeidae_cluster2	FALSE
Dictynidae_cluster1	FALSE
Dictynidae_cluster2	FALSE
Dictynidae_cluster3	FALSE
Dictynidae_cluster4	FALSE
Dictynidae_cluster5	FALSE
Dictynidae_cluster6	FALSE
Dictynidae_cluster7	FALSE
Dictynidae_cluster8	FALSE
Dictynidae_cluster9	FALSE
Gnaphosidae_cluster1	FALSE
Gnaphosidae_cluster10	FALSE
Gnaphosidae_cluster11	FALSE
Gnaphosidae_cluster12	FALSE
Gnaphosidae_cluster13	FALSE
