"taxon"	"run"	"count_type"	"cutoff_type"	"cutoff"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	"raw"	"sum"	1	19578	0	8073	0	991	991	0	1
"Diptera"	2	"raw"	"sum"	2	19578	0	8073	0	991	991	0	1
"Diptera"	3	"raw"	"sum"	5	19578	0	8073	0	991	991	0	1
"Diptera"	4	"raw"	"sum"	10	19578	0	8073	0	991	991	0	1
"Diptera"	5	"raw"	"sum"	20	19578	0	8073	0	991	991	0	1
"Diptera"	6	"raw"	"sum"	50	19578	0	8073	0	991	991	0	1
"Diptera"	7	"raw"	"sum"	100	19578	0	8073	0	991	991	0	1
"Diptera"	8	"raw"	"sum"	200	19578	0	8073	0	991	991	0	1
"Diptera"	9	"raw"	"sum"	500	19578	0	8073	0	991	991	0	1
"Diptera"	10	"raw"	"max"	1	19578	0	8073	0	991	991	0	1
"Diptera"	11	"raw"	"max"	2	19578	0	8073	0	991	991	0	1
"Diptera"	12	"raw"	"max"	5	19578	0	8073	0	991	991	0	1
"Diptera"	13	"raw"	"max"	10	19578	0	8073	0	991	991	0	1
"Diptera"	14	"raw"	"max"	20	19578	0	8073	0	991	991	0	1
"Diptera"	15	"raw"	"max"	50	19578	0	8073	0	991	991	0	1
"Diptera"	16	"raw"	"max"	100	19578	0	8073	0	991	991	0	1
"Diptera"	17	"raw"	"max"	200	19578	0	8073	0	991	991	0	1
"Diptera"	18	"raw"	"max"	500	19578	0	8073	0	991	991	0	1
"Diptera"	19	"tot_proportional"	"sum"	1e-06	19578	0	8073	0	991	991	0	1
"Diptera"	20	"tot_proportional"	"sum"	2e-06	19578	0	8073	0	991	991	0	1
"Diptera"	21	"tot_proportional"	"sum"	5e-06	19578	0	8073	0	991	991	0	1
"Diptera"	22	"tot_proportional"	"sum"	1e-05	19578	0	8073	0	991	991	0	1
"Diptera"	23	"tot_proportional"	"sum"	2e-05	19578	0	8073	0	991	991	0	1
"Diptera"	24	"tot_proportional"	"sum"	5e-05	19578	0	8073	0	991	991	0	1
"Diptera"	25	"tot_proportional"	"sum"	1e-04	19578	0	8073	0	991	991	0	1
"Diptera"	26	"tot_proportional"	"sum"	2e-04	19578	0	8073	0	991	991	0	1
"Diptera"	27	"tot_proportional"	"sum"	5e-04	19578	0	8073	0	991	991	0	1
"Diptera"	28	"tot_proportional"	"max"	1e-06	19578	0	8073	0	991	991	0	1
"Diptera"	29	"tot_proportional"	"max"	2e-06	19578	0	8073	0	991	991	0	1
"Diptera"	30	"tot_proportional"	"max"	5e-06	19578	0	8073	0	991	991	0	1
"Diptera"	31	"tot_proportional"	"max"	1e-05	19578	0	8073	0	991	991	0	1
"Diptera"	32	"tot_proportional"	"max"	2e-05	19578	0	8073	0	991	991	0	1
"Diptera"	33	"tot_proportional"	"max"	5e-05	19578	0	8073	0	991	991	0	1
"Diptera"	34	"tot_proportional"	"max"	1e-04	19578	0	8073	0	991	991	0	1
"Diptera"	35	"tot_proportional"	"max"	2e-04	19578	0	8073	0	991	991	0	1
"Diptera"	36	"tot_proportional"	"max"	5e-04	19578	0	8073	0	991	991	0	1
"Diptera"	37	"sample_proportional"	"sum"	1e-06	19578	0	8073	0	991	991	0	1
"Diptera"	38	"sample_proportional"	"sum"	2e-06	19578	0	8073	0	991	991	0	1
"Diptera"	39	"sample_proportional"	"sum"	5e-06	19578	0	8073	0	991	991	0	1
"Diptera"	40	"sample_proportional"	"sum"	1e-05	19578	0	8073	0	991	991	0	1
"Diptera"	41	"sample_proportional"	"sum"	2e-05	19578	0	8073	0	991	991	0	1
"Diptera"	42	"sample_proportional"	"sum"	5e-05	19578	0	8073	0	991	991	0	1
"Diptera"	43	"sample_proportional"	"sum"	1e-04	19578	0	8073	0	991	991	0	1
"Diptera"	44	"sample_proportional"	"sum"	2e-04	19578	0	8073	0	991	991	0	1
"Diptera"	45	"sample_proportional"	"sum"	5e-04	19578	0	8073	0	991	991	0	1
"Diptera"	46	"sample_proportional"	"max"	1e-06	19578	0	8073	0	991	991	0	1
"Diptera"	47	"sample_proportional"	"max"	2e-06	19578	0	8073	0	991	991	0	1
"Diptera"	48	"sample_proportional"	"max"	5e-06	19578	0	8073	0	991	991	0	1
"Diptera"	49	"sample_proportional"	"max"	1e-05	19578	0	8073	0	991	991	0	1
"Diptera"	50	"sample_proportional"	"max"	2e-05	19578	0	8073	0	991	991	0	1
"Diptera"	51	"sample_proportional"	"max"	5e-05	19578	0	8073	0	991	991	0	1
"Diptera"	52	"sample_proportional"	"max"	1e-04	19578	0	8073	0	991	991	0	1
"Diptera"	53	"sample_proportional"	"max"	2e-04	19578	0	8073	0	991	991	0	1
"Diptera"	54	"sample_proportional"	"max"	5e-04	19578	0	8073	0	991	991	0	1
"Diptera"	55	"calibrated"	"sum"	1	19578	0	8073	0	991	991	0	1
"Diptera"	56	"calibrated"	"sum"	2	19578	0	8073	0	991	991	0	1
"Diptera"	57	"calibrated"	"sum"	5	19578	0	8073	0	991	991	0	1
"Diptera"	58	"calibrated"	"sum"	10	19578	0	8073	0	991	991	0	1
"Diptera"	59	"calibrated"	"sum"	20	19578	0	8073	0	991	991	0	1
"Diptera"	60	"calibrated"	"sum"	50	19578	0	8073	0	991	991	0	1
"Diptera"	61	"calibrated"	"sum"	100	19578	0	8073	0	991	991	0	1
"Diptera"	62	"calibrated"	"sum"	200	19578	0	8073	0	991	991	0	1
"Diptera"	63	"calibrated"	"sum"	500	19578	0	8073	0	991	991	0	1
"Diptera"	64	"calibrated"	"max"	1	19578	0	8073	0	991	991	0	1
"Diptera"	65	"calibrated"	"max"	2	19578	0	8073	0	991	991	0	1
"Diptera"	66	"calibrated"	"max"	5	19578	0	8073	0	991	991	0	1
"Diptera"	67	"calibrated"	"max"	10	19578	0	8073	0	991	991	0	1
"Diptera"	68	"calibrated"	"max"	20	19578	0	8073	0	991	991	0	1
"Diptera"	69	"calibrated"	"max"	50	19578	0	8073	0	991	991	0	1
"Diptera"	70	"calibrated"	"max"	100	19578	0	8073	0	991	991	0	1
"Diptera"	71	"calibrated"	"max"	200	19578	0	8073	0	991	991	0	1
"Diptera"	72	"calibrated"	"max"	500	19578	0	8073	0	991	991	0	1
"Blattodea"	1	"raw"	"sum"	1	49	0	5	0	2	2	0	1
"Blattodea"	2	"raw"	"sum"	2	49	0	5	0	2	2	0	1
"Blattodea"	3	"raw"	"sum"	5	49	0	5	0	2	2	0	1
"Blattodea"	4	"raw"	"sum"	10	49	0	5	0	2	2	0	1
"Blattodea"	5	"raw"	"sum"	20	49	0	5	0	2	2	0	1
"Blattodea"	6	"raw"	"sum"	50	49	0	5	0	2	2	0	1
"Blattodea"	7	"raw"	"sum"	100	49	0	5	0	2	2	0	1
"Blattodea"	8	"raw"	"sum"	200	49	0	5	0	2	2	0	1
"Blattodea"	9	"raw"	"sum"	500	49	0	5	0	2	2	0	1
"Blattodea"	10	"raw"	"max"	1	49	0	5	0	2	2	0	1
"Blattodea"	11	"raw"	"max"	2	49	0	5	0	2	2	0	1
"Blattodea"	12	"raw"	"max"	5	49	0	5	0	2	2	0	1
