"method"	"country"	"count_type"	"rank"	"count"	"reads"	"prop_count"	"prop_reads"
"sintax"	"Sweden"	"ASVs"	"Phylum"	691225	4517129087	1	1
"sintax"	"Sweden"	"ASVs"	"Class"	665974	4476595769	0.963469203226156	0.991026752342179
"sintax"	"Sweden"	"ASVs"	"Order"	643130	4441580701	0.93042063004087	0.983275132380559
"sintax"	"Sweden"	"ASVs"	"Family"	598491	4355203629	0.865841079243372	0.964153015138307
"sintax"	"Sweden"	"ASVs"	"Genus"	479928	4152726995	0.694315165105429	0.919328829222808
"sintax"	"Sweden"	"ASVs"	"Species"	312698	2815485921	0.452382364642483	0.623291003372647
"vsearch"	"Sweden"	"ASVs"	"Phylum"	690147	4521513372	1	1
"vsearch"	"Sweden"	"ASVs"	"Class"	688770	4519924521	0.998004772896209	0.999648601946012
"vsearch"	"Sweden"	"ASVs"	"Order"	685110	4508969770	0.992701554886133	0.997225795664417
"vsearch"	"Sweden"	"ASVs"	"Family"	650928	4384074341	0.943172976192029	0.969603312056731
"vsearch"	"Sweden"	"ASVs"	"Genus"	501346	3990582402	0.726433643846891	0.882576711309127
"vsearch"	"Sweden"	"ASVs"	"Species"	269587	2281473412	0.39062257750885	0.504581812392349
"epang"	"Sweden"	"ASVs"	"Phylum"	786599	4580278664	1	1
"epang"	"Sweden"	"ASVs"	"Class"	781098	4523726351	0.993006601839057	0.987653084637734
"epang"	"Sweden"	"ASVs"	"Order"	780199	4522387960	0.991863706920553	0.98736087730753
"epang"	"Sweden"	"ASVs"	"Family"	723728	4315204338	0.920072362156575	0.942127030810717
"epang"	"Sweden"	"ASVs"	"Genus"	514602	3598503726	0.65421135801088	0.78565170156206
"epang"	"Sweden"	"ASVs"	"Species"	294910	2079190780	0.374917842509334	0.453944166397995
"epang_exp"	"Sweden"	"ASVs"	"Phylum"	808792	4598538174	1	1
"epang_exp"	"Sweden"	"ASVs"	"Class"	805809	4598393815	0.996311783499342	0.99996860763257
"epang_exp"	"Sweden"	"ASVs"	"Order"	738933	4433666715	0.91362550569244	0.964146984810917
"epang_exp"	"Sweden"	"ASVs"	"Family"	683358	3906513658	0.84491191802095	0.849512064526791
"epang_exp"	"Sweden"	"ASVs"	"Genus"	479815	3068817042	0.593248944104294	0.667346214358076
"epang_exp"	"Sweden"	"ASVs"	"Species"	337282	1948741613	0.417019456176619	0.423774151537575
"sintax"	"Madagascar"	"ASVs"	"Phylum"	509018	1407891737	1	1
"sintax"	"Madagascar"	"ASVs"	"Class"	424723	891907469	0.834396818973003	0.633505720333665
"sintax"	"Madagascar"	"ASVs"	"Order"	197989	554880679	0.388962669296567	0.394121695878665
"sintax"	"Madagascar"	"ASVs"	"Family"	111468	387095664	0.218986361975411	0.274947038772201
"sintax"	"Madagascar"	"ASVs"	"Genus"	21107	124478529	0.0414661171117721	0.0884148445002203
"sintax"	"Madagascar"	"ASVs"	"Species"	11728	96968387	0.0230404425776692	0.0688748889219456
"vsearch"	"Madagascar"	"ASVs"	"Phylum"	513091	1444030958	1	1
"vsearch"	"Madagascar"	"ASVs"	"Class"	510057	1426548785	0.994086818907367	0.987893491546599
"vsearch"	"Madagascar"	"ASVs"	"Order"	477382	1320590483	0.93040415832669	0.914516739190297
"vsearch"	"Madagascar"	"ASVs"	"Family"	331568	865902859	0.646216752973644	0.599642863750848
"vsearch"	"Madagascar"	"ASVs"	"Genus"	93043	271015940	0.181338203164741	0.187680145289517
"vsearch"	"Madagascar"	"ASVs"	"Species"	41000	156690173	0.0799078526031445	0.108508873810446
"epang"	"Madagascar"	"ASVs"	"Phylum"	635413	1484609719	1	1
"epang"	"Madagascar"	"ASVs"	"Class"	632406	1467184065	0.995267644823131	0.988262468056765
"epang"	"Madagascar"	"ASVs"	"Order"	630666	1465736045	0.992529268365614	0.987287114075534
"epang"	"Madagascar"	"ASVs"	"Family"	545173	1290457523	0.857982131306725	0.869223410358127
"epang"	"Madagascar"	"ASVs"	"Genus"	310311	895409146	0.488361113165768	0.603127633168889
"epang"	"Madagascar"	"ASVs"	"Species"	212586	695462964	0.334563504366451	0.468448343762998
"epang_exp"	"Madagascar"	"ASVs"	"Phylum"	676574	1494280199	1	1
"epang_exp"	"Madagascar"	"ASVs"	"Class"	673549	1493890737	0.995528944357897	0.999739364812396
"epang_exp"	"Madagascar"	"ASVs"	"Order"	623881	1473143141	0.922117905801878	0.985854689091012
"epang_exp"	"Madagascar"	"ASVs"	"Family"	540056	1264577798	0.798221628380635	0.846278896585981
"epang_exp"	"Madagascar"	"ASVs"	"Genus"	311354	641518686	0.460192085418594	0.429316192792567
"epang_exp"	"Madagascar"	"ASVs"	"Species"	226011	385223076	0.334052150984223	0.257798421111247
"sintax"	"Sweden"	"clusters"	"Phylum"	61430	4516665970	1	1
"sintax"	"Sweden"	"clusters"	"Class"	53756	4476144998	0.875077323783168	0.991028565701085
"sintax"	"Sweden"	"clusters"	"Order"	46948	4439934687	0.764251994139671	0.983011521438677
"sintax"	"Sweden"	"clusters"	"Family"	38277	4354807893	0.623099462803191	0.964164257867402
"sintax"	"Sweden"	"clusters"	"Genus"	24104	4158428130	0.392381572521569	0.920685336843716
"sintax"	"Sweden"	"clusters"	"Species"	15454	2830811074	0.251570893700147	0.626747935933815
"vsearch"	"Sweden"	"clusters"	"Phylum"	60584	4521059081	1	1
"vsearch"	"Sweden"	"clusters"	"Class"	60239	4519353038	0.994305427175492	0.999622645276376
"vsearch"	"Sweden"	"clusters"	"Order"	59557	4510218214	0.983048329591972	0.99760213993983
"vsearch"	"Sweden"	"clusters"	"Family"	54390	4389557364	0.897761785289846	0.970913515031767
"vsearch"	"Sweden"	"clusters"	"Genus"	29411	3995338314	0.485458206787271	0.883717341980915
"vsearch"	"Sweden"	"clusters"	"Species"	12781	2286243898	0.210963290637792	0.505687684464922
"epang"	"Sweden"	"clusters"	"Phylum"	107010	4576857249	1	1
"epang"	"Sweden"	"clusters"	"Class"	106428	4522694242	0.994561255957387	0.988165895492626
"epang"	"Sweden"	"clusters"	"Order"	106344	4521023176	0.993776282590412	0.987800783384232
"epang"	"Sweden"	"clusters"	"Family"	93486	4274720857	0.873619287917017	0.93398605733967
"epang"	"Sweden"	"clusters"	"Genus"	64142	3531791556	0.599401925053733	0.771663035103763
"epang"	"Sweden"	"clusters"	"Species"	44677	2048199280	0.417503037099337	0.447512161417644
"epang_exp"	"Sweden"	"clusters"	"Phylum"	120177	4444918493	1	1
"epang_exp"	"Sweden"	"clusters"	"Class"	118724	4417002909	0.98790950015394	0.993719663466504
"epang_exp"	"Sweden"	"clusters"	"Order"	95829	3654377205	0.797398836715844	0.822147180146279
"epang_exp"	"Sweden"	"clusters"	"Family"	89831	3383195108	0.74748912021435	0.761137715647197
"epang_exp"	"Sweden"	"clusters"	"Genus"	71019	2749322843	0.590953343817869	0.618531666515308
"epang_exp"	"Sweden"	"clusters"	"Species"	60578	2167487600	0.504073158757499	0.487632698645302
"sintax"	"Madagascar"	"clusters"	"Phylum"	134803	1407749697	1	1
"sintax"	"Madagascar"	"clusters"	"Class"	117629	891787023	0.872599274496858	0.633484080941699
"sintax"	"Madagascar"	"clusters"	"Order"	54531	555171896	0.404523638197963	0.394368329244258
"sintax"	"Madagascar"	"clusters"	"Family"	28192	387043961	0.209134811539803	0.27493805313886
"sintax"	"Madagascar"	"clusters"	"Genus"	5261	124541482	0.039027321350415	0.0884684843231758
"sintax"	"Madagascar"	"clusters"	"Species"	2926	96999466	0.021705748388389	0.0689039153812015
"vsearch"	"Madagascar"	"clusters"	"Phylum"	134425	1444008030	1	1
"vsearch"	"Madagascar"	"clusters"	"Class"	133754	1423784557	0.995008368978985	0.985994902673775
"vsearch"	"Madagascar"	"clusters"	"Order"	126806	1318106136	0.943321554770318	0.912810807568709
"vsearch"	"Madagascar"	"clusters"	"Family"	91593	853329773	0.681368793007253	0.590945310047895
"vsearch"	"Madagascar"	"clusters"	"Genus"	25217	265179562	0.187591593825553	0.183641334736899
"vsearch"	"Madagascar"	"clusters"	"Species"	10331	149921085	0.076853263901804	0.103822888713437
"epang"	"Madagascar"	"clusters"	"Phylum"	207504	1488072538	1	1
"epang"	"Madagascar"	"clusters"	"Class"	206438	1466972031	0.994862749633742	0.985820242991407
"epang"	"Madagascar"	"clusters"	"Order"	205958	1465619245	0.992549541213663	0.984911156931787
"epang"	"Madagascar"	"clusters"	"Family"	176809	1287681611	0.852075140720179	0.86533524281731
