"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	84	0.9	"max"	1	FALSE	19578	5393	8073	345	991	271	0.0427350427350427	0.273461150353179
"Diptera"	2	84	0.9	"mean"	1	FALSE	19578	5634	8073	414	991	241	0.0512820512820513	0.243188698284561
"Blattodea"	1	84	0.9	"max"	1	FALSE	49	44	5	2	2	0	0.4	0
"Blattodea"	2	84	0.9	"mean"	1	FALSE	49	45	5	2	2	0	0.4	0
"Hymenoptera"	1	84	0.9	"max"	1	FALSE	15886	3681	5680	175	491	220	0.0308098591549296	0.44806517311609
"Hymenoptera"	2	84	0.9	"mean"	1	FALSE	15886	3885	5680	192	491	199	0.0338028169014084	0.405295315682281
"Orthoptera"	1	84	0.9	"max"	1	FALSE	1431	563	27	5	13	2	0.185185185185185	0.153846153846154
"Orthoptera"	2	84	0.9	"mean"	1	FALSE	1431	666	27	6	13	2	0.222222222222222	0.153846153846154
"Coleoptera"	1	84	0.9	"max"	1	FALSE	3107	808	1698	53	233	34	0.0312131919905771	0.145922746781116
"Coleoptera"	2	84	0.9	"mean"	1	FALSE	3107	827	1698	58	233	28	0.0341578327444052	0.120171673819742
"Entomobryomorpha"	1	84	0.9	"max"	1	FALSE	976	587	193	30	82	18	0.155440414507772	0.219512195121951
"Entomobryomorpha"	2	84	0.9	"mean"	1	FALSE	976	625	193	36	82	16	0.186528497409326	0.195121951219512
"Hemiptera"	1	84	0.9	"max"	1	FALSE	2142	557	878	38	116	17	0.0432801822323462	0.146551724137931
"Hemiptera"	2	84	0.9	"mean"	1	FALSE	2142	573	878	41	116	15	0.0466970387243736	0.129310344827586
"Lepidoptera"	1	84	0.9	"max"	1	FALSE	1968	237	1587	42	47	11	0.0264650283553875	0.234042553191489
"Lepidoptera"	2	84	0.9	"mean"	1	FALSE	1968	246	1587	49	47	10	0.0308758664146188	0.212765957446809
"Dermaptera"	1	84	0.9	"max"	1	FALSE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	2	84	0.9	"mean"	1	FALSE	9	3	5	1	0	0	0.2	NA
"Plecoptera"	1	84	0.9	"max"	1	FALSE	64	27	38	7	9	3	0.184210526315789	0.333333333333333
"Plecoptera"	2	84	0.9	"mean"	1	FALSE	64	28	38	7	9	2	0.184210526315789	0.222222222222222
