"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	33	84	0.99	"max"	0.1	TRUE	19578	3943	8073	161	991	432	0.0199430199430199	0.435923309788093
"Diptera"	34	84	0.95	"max"	0.05	TRUE	19578	3655	8073	125	991	470	0.015483711135885	0.474268415741675
"Diptera"	35	84	0.9	"max"	0.1	TRUE	19578	4036	8073	178	991	420	0.0220488046575003	0.423814328960646
"Diptera"	36	84	0.9	"max"	0.05	TRUE	19578	3682	8073	130	991	469	0.0161030595813204	0.473259334006054
"Diptera"	37	90	0.95	"max"	0.1	TRUE	19578	3755	8073	133	991	442	0.0164746686485817	0.446014127144299
"Diptera"	38	95	0.95	"max"	0.1	TRUE	19578	1611	8073	45	991	673	0.00557413600891862	0.679112008072654
"Blattodea"	33	84	0.99	"max"	0.1	TRUE	49	44	5	2	2	0	0.4	0
"Blattodea"	34	84	0.95	"max"	0.05	TRUE	49	41	5	2	2	2	0.4	1
"Blattodea"	35	84	0.9	"max"	0.1	TRUE	49	44	5	2	2	0	0.4	0
"Blattodea"	36	84	0.9	"max"	0.05	TRUE	49	41	5	2	2	2	0.4	1
"Blattodea"	37	90	0.95	"max"	0.1	TRUE	49	43	5	1	2	0	0.2	0
"Blattodea"	38	95	0.95	"max"	0.1	TRUE	49	13	5	0	2	2	0	1
"Hymenoptera"	33	84	0.99	"max"	0.1	TRUE	15886	1947	5680	72	491	321	0.0126760563380282	0.653767820773931
"Hymenoptera"	34	84	0.95	"max"	0.05	TRUE	15886	1506	5680	54	491	344	0.00950704225352113	0.70061099796334
"Hymenoptera"	35	84	0.9	"max"	0.1	TRUE	15886	2070	5680	81	491	312	0.0142605633802817	0.635437881873727
"Hymenoptera"	36	84	0.9	"max"	0.05	TRUE	15886	1548	5680	56	491	343	0.00985915492957747	0.69857433808554
"Hymenoptera"	37	90	0.95	"max"	0.1	TRUE	15886	1839	5680	67	491	320	0.0117957746478873	0.65173116089613
"Hymenoptera"	38	95	0.95	"max"	0.1	TRUE	15886	662	5680	26	491	371	0.00457746478873239	0.755600814663951
"Orthoptera"	33	84	0.99	"max"	0.1	TRUE	1431	321	27	4	13	4	0.148148148148148	0.307692307692308
"Orthoptera"	34	84	0.95	"max"	0.05	TRUE	1431	287	27	4	13	5	0.148148148148148	0.384615384615385
"Orthoptera"	35	84	0.9	"max"	0.1	TRUE	1431	353	27	4	13	4	0.148148148148148	0.307692307692308
"Orthoptera"	36	84	0.9	"max"	0.05	TRUE	1431	292	27	4	13	5	0.148148148148148	0.384615384615385
"Orthoptera"	37	90	0.95	"max"	0.1	TRUE	1431	316	27	4	13	6	0.148148148148148	0.461538461538462
"Orthoptera"	38	95	0.95	"max"	0.1	TRUE	1431	114	27	1	13	11	0.037037037037037	0.846153846153846
"Coleoptera"	33	84	0.99	"max"	0.1	TRUE	3107	620	1698	30	233	93	0.0176678445229682	0.399141630901288
"Coleoptera"	34	84	0.95	"max"	0.05	TRUE	3107	565	1698	23	233	111	0.013545347467609	0.476394849785408
"Coleoptera"	35	84	0.9	"max"	0.1	TRUE	3107	638	1698	34	233	89	0.0200235571260306	0.381974248927039
"Coleoptera"	36	84	0.9	"max"	0.05	TRUE	3107	573	1698	27	233	108	0.0159010600706714	0.463519313304721
"Coleoptera"	37	90	0.95	"max"	0.1	TRUE	3107	561	1698	23	233	94	0.013545347467609	0.40343347639485
"Coleoptera"	38	95	0.95	"max"	0.1	TRUE	3107	202	1698	13	233	155	0.00765606595995289	0.665236051502146
"Entomobryomorpha"	33	84	0.99	"max"	0.1	TRUE	976	496	193	23	82	37	0.119170984455959	0.451219512195122
"Entomobryomorpha"	34	84	0.95	"max"	0.05	TRUE	976	489	193	19	82	40	0.0984455958549223	0.48780487804878
"Entomobryomorpha"	35	84	0.9	"max"	0.1	TRUE	976	523	193	24	82	34	0.124352331606218	0.414634146341463
"Entomobryomorpha"	36	84	0.9	"max"	0.05	TRUE	976	498	193	20	82	39	0.103626943005181	0.475609756097561
"Entomobryomorpha"	37	90	0.95	"max"	0.1	TRUE	976	494	193	21	82	40	0.10880829015544	0.48780487804878
"Entomobryomorpha"	38	95	0.95	"max"	0.1	TRUE	976	190	193	6	82	68	0.0310880829015544	0.829268292682927
"Hemiptera"	33	84	0.99	"max"	0.1	TRUE	2142	429	878	22	116	41	0.0250569476082005	0.353448275862069
"Hemiptera"	34	84	0.95	"max"	0.05	TRUE	2142	408	878	21	116	44	0.0239179954441913	0.379310344827586
"Hemiptera"	35	84	0.9	"max"	0.1	TRUE	2142	437	878	22	116	39	0.0250569476082005	0.336206896551724
"Hemiptera"	36	84	0.9	"max"	0.05	TRUE	2142	412	878	21	116	43	0.0239179954441913	0.370689655172414
"Hemiptera"	37	90	0.95	"max"	0.1	TRUE	2142	361	878	20	116	43	0.0227790432801822	0.370689655172414
"Hemiptera"	38	95	0.95	"max"	0.1	TRUE	2142	123	878	4	116	84	0.00455580865603645	0.724137931034483
"Lepidoptera"	33	84	0.99	"max"	0.1	TRUE	1968	176	1587	14	47	20	0.00882167611846251	0.425531914893617
"Lepidoptera"	34	84	0.95	"max"	0.05	TRUE	1968	168	1587	12	47	22	0.00756143667296786	0.468085106382979
"Lepidoptera"	35	84	0.9	"max"	0.1	TRUE	1968	177	1587	15	47	20	0.00945179584120983	0.425531914893617
"Lepidoptera"	36	84	0.9	"max"	0.05	TRUE	1968	168	1587	12	47	22	0.00756143667296786	0.468085106382979
"Lepidoptera"	37	90	0.95	"max"	0.1	TRUE	1968	168	1587	11	47	20	0.00693131695022054	0.425531914893617
"Lepidoptera"	38	95	0.95	"max"	0.1	TRUE	1968	94	1587	8	47	27	0.00504095778197858	0.574468085106383
"Dermaptera"	33	84	0.99	"max"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	34	84	0.95	"max"	0.05	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	35	84	0.9	"max"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	36	84	0.9	"max"	0.05	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	37	90	0.95	"max"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	38	95	0.95	"max"	0.1	TRUE	9	0	5	0	0	0	0	NA
"Plecoptera"	33	84	0.99	"max"	0.1	TRUE	64	20	38	3	9	4	0.0789473684210526	0.444444444444444
"Plecoptera"	34	84	0.95	"max"	0.05	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	35	84	0.9	"max"	0.1	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	36	84	0.9	"max"	0.05	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	37	90	0.95	"max"	0.1	TRUE	64	18	38	3	9	4	0.0789473684210526	0.444444444444444
"Plecoptera"	38	95	0.95	"max"	0.1	TRUE	64	5	38	1	9	8	0.0263157894736842	0.888888888888889
"Psocodea"	33	84	0.99	"max"	0.1	TRUE	131	26	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	34	84	0.95	"max"	0.05	TRUE	131	25	67	1	15	9	0.0149253731343284	0.6
"Psocodea"	35	84	0.9	"max"	0.1	TRUE	131	27	67	2	15	8	0.0298507462686567	0.533333333333333
