"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diptera"	1	13	"False"	"wdadn"	4	17459	4110	7824	228	708	1120	196	240	0.0291411042944785	0.27683615819209	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0251230516817063	0.299261083743842
"Diptera"	2	14	"False"	"wdadn"	4	17459	4173	7824	236	708	1120	196	240	0.0301635991820041	0.27683615819209	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0259433962264151	0.299261083743842
"Diptera"	3	15	"False"	"wdadn"	4	17459	4076	7824	222	708	1120	211	256	0.0283742331288344	0.298022598870056	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0244052502050861	0.316502463054187
"Diptera"	4	16	"False"	"wdadn"	4	17459	4152	7824	229	708	1120	208	254	0.0292689161554192	0.293785310734463	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0252255947497949	0.312807881773399
"Diptera"	5	17	"False"	"wdadn"	4	17459	4086	7824	222	708	1120	209	254	0.0283742331288344	0.295197740112994	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0244052502050861	0.314039408866995
"Diptera"	6	18	"False"	"wdadn"	4	17459	4162	7824	229	708	1120	206	252	0.0292689161554192	0.290960451977401	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0252255947497949	0.310344827586207
"Diptera"	7	19	"False"	"wdadn"	4	17459	4289	7824	248	708	1120	182	224	0.0316973415132924	0.257062146892655	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0274815422477441	0.280788177339901
"Diptera"	8	20	"False"	"wdadn"	4	17459	4365	7824	254	708	1120	183	224	0.0324642126789366	0.258474576271186	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0280968006562756	0.282019704433497
"Diptera"	9	21	"False"	"wdadn"	4	17459	4140	7824	235	708	1120	196	240	0.0300357873210634	0.27683615819209	1928	18	363	162	314	104	47	0.0093360995850622	0.451923076923077	0.0259433962264151	0.299261083743842
"Diptera"	10	22	"False"	"wdadn"	4	17459	4203	7824	243	708	1120	195	239	0.031058282208589	0.275423728813559	1928	18	363	162	314	104	47	0.0093360995850622	0.451923076923077	0.0267637407711239	0.298029556650246
"Diptera"	11	23	"False"	"wdadn"	4	17459	4262	7824	247	708	1120	186	229	0.0315695296523517	0.26271186440678	1928	19	363	162	314	104	46	0.0098547717842323	0.442307692307692	0.0272764561115669	0.285714285714286
"Diptera"	12	24	"False"	"wdadn"	4	17459	4337	7824	253	708	1120	187	229	0.0323364008179959	0.264124293785311	1928	19	363	162	314	104	46	0.0098547717842323	0.442307692307692	0.0278917145200984	0.286945812807882
"Hymenoptera"	1	13	"False"	"wdadn"	4	14315	2987	5452	152	338	445	153	174	0.0278796771826853	0.452662721893491	778	4	28	12	14	2	1	0.0051413881748072	0.5	0.0250401284109149	0.452941176470588
