"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	7	19	FALSE	"wdadn"	4	19578	5272	8073	254	991	272	0.0314629010281184	0.274470232088799
"Diptera"	8	20	FALSE	"wdadn"	4	19578	5365	8073	263	991	266	0.0325777282299021	0.268415741675076
"Diptera"	9	21	FALSE	"wdadn"	4	19578	5119	8073	239	991	293	0.0296048556918122	0.295660948536832
"Diptera"	10	22	FALSE	"wdadn"	4	19578	5198	8073	250	991	289	0.0309674222717701	0.291624621594349
"Diptera"	11	23	FALSE	"wdadn"	4	19578	5244	8073	254	991	275	0.0314629010281184	0.277497477295661
"Diptera"	12	24	FALSE	"wdadn"	4	19578	5338	8073	263	991	269	0.0325777282299021	0.271442986881937
"Blattodea"	7	19	FALSE	"wdadn"	4	49	43	5	2	2	1	0.4	0.5
"Blattodea"	8	20	FALSE	"wdadn"	4	49	43	5	2	2	1	0.4	0.5
"Blattodea"	9	21	FALSE	"wdadn"	4	49	44	5	2	2	0	0.4	0
"Blattodea"	10	22	FALSE	"wdadn"	4	49	44	5	2	2	0	0.4	0
"Blattodea"	11	23	FALSE	"wdadn"	4	49	43	5	2	2	1	0.4	0.5
"Blattodea"	12	24	FALSE	"wdadn"	4	49	43	5	2	2	1	0.4	0.5
"Hymenoptera"	7	19	FALSE	"wdadn"	4	15886	3761	5680	187	491	210	0.0329225352112676	0.427698574338086
"Hymenoptera"	8	20	FALSE	"wdadn"	4	15886	3844	5680	206	491	206	0.0362676056338028	0.419551934826884
"Hymenoptera"	9	21	FALSE	"wdadn"	4	15886	3715	5680	186	491	214	0.0327464788732394	0.435845213849287
"Hymenoptera"	10	22	FALSE	"wdadn"	4	15886	3800	5680	205	491	207	0.0360915492957746	0.421588594704684
"Hymenoptera"	11	23	FALSE	"wdadn"	4	15886	3747	5680	187	491	211	0.0329225352112676	0.429735234215886
"Hymenoptera"	12	24	FALSE	"wdadn"	4	15886	3830	5680	206	491	207	0.0362676056338028	0.421588594704684
"Orthoptera"	7	19	FALSE	"wdadn"	4	1431	1222	27	8	13	1	0.296296296296296	0.0769230769230769
"Orthoptera"	8	20	FALSE	"wdadn"	4	1431	1222	27	8	13	1	0.296296296296296	0.0769230769230769
"Orthoptera"	9	21	FALSE	"wdadn"	4	1431	1216	27	7	13	2	0.259259259259259	0.153846153846154
"Orthoptera"	10	22	FALSE	"wdadn"	4	1431	1216	27	7	13	3	0.259259259259259	0.230769230769231
"Orthoptera"	11	23	FALSE	"wdadn"	4	1431	1221	27	8	13	1	0.296296296296296	0.0769230769230769
"Orthoptera"	12	24	FALSE	"wdadn"	4	1431	1221	27	8	13	1	0.296296296296296	0.0769230769230769
"Coleoptera"	7	19	FALSE	"wdadn"	4	3107	771	1698	42	233	44	0.0247349823321555	0.188841201716738
"Coleoptera"	8	20	FALSE	"wdadn"	4	3107	773	1698	42	233	41	0.0247349823321555	0.175965665236052
"Coleoptera"	9	21	FALSE	"wdadn"	4	3107	746	1698	35	233	48	0.0206124852767962	0.206008583690987
"Coleoptera"	10	22	FALSE	"wdadn"	4	3107	744	1698	35	233	46	0.0206124852767962	0.197424892703863
"Coleoptera"	11	23	FALSE	"wdadn"	4	3107	764	1698	41	233	48	0.0241460541813899	0.206008583690987
"Coleoptera"	12	24	FALSE	"wdadn"	4	3107	766	1698	41	233	45	0.0241460541813899	0.1931330472103
"Entomobryomorpha"	7	19	FALSE	"wdadn"	4	976	614	193	27	82	23	0.139896373056995	0.280487804878049
"Entomobryomorpha"	8	20	FALSE	"wdadn"	4	976	615	193	27	82	24	0.139896373056995	0.292682926829268
"Entomobryomorpha"	9	21	FALSE	"wdadn"	4	976	589	193	23	82	27	0.119170984455959	0.329268292682927
"Entomobryomorpha"	10	22	FALSE	"wdadn"	4	976	588	193	24	82	27	0.124352331606218	0.329268292682927
"Entomobryomorpha"	11	23	FALSE	"wdadn"	4	976	613	193	27	82	23	0.139896373056995	0.280487804878049
"Entomobryomorpha"	12	24	FALSE	"wdadn"	4	976	614	193	27	82	24	0.139896373056995	0.292682926829268
"Hemiptera"	7	19	FALSE	"wdadn"	4	2142	550	878	29	116	15	0.0330296127562642	0.129310344827586
"Hemiptera"	8	20	FALSE	"wdadn"	4	2142	552	878	29	116	15	0.0330296127562642	0.129310344827586
"Hemiptera"	9	21	FALSE	"wdadn"	4	2142	509	878	28	116	20	0.0318906605922551	0.172413793103448
"Hemiptera"	10	22	FALSE	"wdadn"	4	2142	507	878	28	116	21	0.0318906605922551	0.181034482758621
"Hemiptera"	11	23	FALSE	"wdadn"	4	2142	541	878	29	116	17	0.0330296127562642	0.146551724137931
"Hemiptera"	12	24	FALSE	"wdadn"	4	2142	543	878	29	116	17	0.0330296127562642	0.146551724137931
"Lepidoptera"	7	19	FALSE	"wdadn"	4	1968	223	1587	20	47	10	0.0126023944549464	0.212765957446809
