"taxon"	"run"	"eee_run"	"count_type"	"cutoff_type"	"cutoff"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diptera"	1	1	"calibrated"	"sum"	2	17459	4123	7824	228	708	1120	196	238	0.0291411042944785	0.27683615819209	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0251230516817063	0.299261083743842
"Diptera"	2	1	"calibrated"	"sum"	3	17459	4142	7824	229	708	1120	193	234	0.0292689161554192	0.272598870056497	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0252255947497949	0.295566502463054
"Diptera"	3	1	"calibrated"	"sum"	4	17459	4171	7824	231	708	1120	188	228	0.0295245398773006	0.265536723163842	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0254306808859721	0.289408866995074
"Diptera"	4	1	"calibrated"	"sum"	5	17459	4192	7824	234	708	1120	186	224	0.0299079754601227	0.26271186440678	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0257383100902379	0.286945812807882
"Diptera"	5	1	"calibrated"	"sum"	6	17459	4211	7824	238	708	1120	186	224	0.0304192229038855	0.26271186440678	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0261484823625923	0.286945812807882
"Diptera"	6	1	"calibrated"	"sum"	7	17459	4229	7824	238	708	1120	183	221	0.0304192229038855	0.258474576271186	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0261484823625923	0.283251231527094
"Diptera"	7	1	"calibrated"	"sum"	8	17459	4242	7824	240	708	1120	181	219	0.0306748466257669	0.255649717514124	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0263535684987695	0.280788177339901
"Diptera"	8	1	"calibrated"	"sum"	9	17459	4256	7824	242	708	1120	180	218	0.0309304703476483	0.254237288135593	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0265586546349467	0.279556650246305
"Diptera"	9	1	"calibrated"	"sum"	10	17459	4275	7824	247	708	1120	179	217	0.0315695296523517	0.252824858757062	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0270713699753897	0.277093596059113
"Diptera"	10	2	"calibrated"	"sum"	2	17459	4186	7824	236	708	1120	196	238	0.0301635991820041	0.27683615819209	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0259433962264151	0.299261083743842
"Diptera"	11	2	"calibrated"	"sum"	3	17459	4205	7824	237	708	1120	193	234	0.0302914110429448	0.272598870056497	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0260459392945037	0.295566502463054
"Diptera"	12	2	"calibrated"	"sum"	4	17459	4234	7824	239	708	1120	188	228	0.0305470347648262	0.265536723163842	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0262510254306809	0.289408866995074
"Diptera"	13	2	"calibrated"	"sum"	5	17459	4255	7824	242	708	1120	186	224	0.0309304703476483	0.26271186440678	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0265586546349467	0.286945812807882
"Diptera"	14	2	"calibrated"	"sum"	6	17459	4274	7824	246	708	1120	186	224	0.031441717791411	0.26271186440678	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0269688269073011	0.286945812807882
"Diptera"	15	2	"calibrated"	"sum"	7	17459	4292	7824	246	708	1120	183	221	0.031441717791411	0.258474576271186	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0269688269073011	0.283251231527094
"Diptera"	16	2	"calibrated"	"sum"	8	17459	4305	7824	248	708	1120	181	219	0.0316973415132924	0.255649717514124	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0271739130434783	0.280788177339901
"Diptera"	17	2	"calibrated"	"sum"	9	17459	4318	7824	250	708	1120	180	218	0.0319529652351738	0.254237288135593	1928	17	363	162	314	104	47	0.0088174273858921	0.451923076923077	0.0273789991796555	0.279556650246305
"Diptera"	18	2	"calibrated"	"sum"	10	17459	4337	7824	255	708	1120	179	217	0.0325920245398773	0.252824858757062	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0278917145200984	0.277093596059113
"Diptera"	19	3	"calibrated"	"sum"	2	17459	4089	7824	222	708	1120	211	254	0.0283742331288344	0.298022598870056	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0244052502050861	0.316502463054187
"Diptera"	20	3	"calibrated"	"sum"	3	17459	4108	7824	223	708	1120	208	250	0.0285020449897751	0.293785310734463	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0245077932731747	0.312807881773399
"Diptera"	21	3	"calibrated"	"sum"	4	17459	4137	7824	225	708	1120	203	244	0.0287576687116564	0.286723163841808	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0247128794093519	0.306650246305419
"Diptera"	22	3	"calibrated"	"sum"	5	17459	4158	7824	228	708	1120	201	240	0.0291411042944785	0.283898305084746	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0250205086136177	0.304187192118227
"Diptera"	23	3	"calibrated"	"sum"	6	17459	4177	7824	232	708	1120	201	240	0.0296523517382413	0.283898305084746	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0254306808859721	0.304187192118227
"Diptera"	24	3	"calibrated"	"sum"	7	17459	4195	7824	232	708	1120	198	237	0.0296523517382413	0.279661016949153	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0254306808859721	0.300492610837438
"Diptera"	25	3	"calibrated"	"sum"	8	17459	4208	7824	234	708	1120	196	235	0.0299079754601227	0.27683615819209	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0256357670221493	0.298029556650246
"Diptera"	26	3	"calibrated"	"sum"	9	17459	4222	7824	236	708	1120	195	234	0.0301635991820041	0.275423728813559	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0258408531583265	0.29679802955665
"Diptera"	27	3	"calibrated"	"sum"	10	17459	4241	7824	241	708	1120	194	233	0.0308026584867076	0.274011299435028	1928	16	363	162	314	104	45	0.0082987551867219	0.432692307692308	0.0263535684987695	0.294334975369458
"Diptera"	28	4	"calibrated"	"sum"	2	17459	4165	7824	229	708	1120	208	252	0.0292689161554192	0.293785310734463	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0252255947497949	0.312807881773399
"Diptera"	29	4	"calibrated"	"sum"	3	17459	4184	7824	230	708	1120	205	248	0.0293967280163599	0.28954802259887	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0253281378178835	0.309113300492611
"Diptera"	30	4	"calibrated"	"sum"	4	17459	4213	7824	232	708	1120	200	242	0.0296523517382413	0.282485875706215	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0255332239540607	0.302955665024631
"Diptera"	31	4	"calibrated"	"sum"	5	17459	4234	7824	235	708	1120	198	238	0.0300357873210634	0.279661016949153	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0258408531583265	0.300492610837438
"Diptera"	32	4	"calibrated"	"sum"	6	17459	4253	7824	239	708	1120	198	238	0.0305470347648262	0.279661016949153	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0262510254306809	0.300492610837438
"Diptera"	33	4	"calibrated"	"sum"	7	17459	4271	7824	239	708	1120	195	235	0.0305470347648262	0.275423728813559	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0262510254306809	0.29679802955665
"Diptera"	34	4	"calibrated"	"sum"	8	17459	4284	7824	241	708	1120	193	233	0.0308026584867076	0.272598870056497	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0264561115668581	0.294334975369458
"Diptera"	35	4	"calibrated"	"sum"	9	17459	4297	7824	243	708	1120	192	232	0.031058282208589	0.271186440677966	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0266611977030353	0.293103448275862
"Diptera"	36	4	"calibrated"	"sum"	10	17459	4316	7824	248	708	1120	191	231	0.0316973415132924	0.269774011299435	1928	17	363	162	314	104	45	0.0088174273858921	0.432692307692308	0.0271739130434783	0.29064039408867
"Diptera"	37	5	"calibrated"	"sum"	2	17459	4099	7824	222	708	1120	209	252	0.0283742331288344	0.295197740112994	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0244052502050861	0.314039408866995
"Diptera"	38	5	"calibrated"	"sum"	3	17459	4118	7824	223	708	1120	206	248	0.0285020449897751	0.290960451977401	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0245077932731747	0.310344827586207
"Diptera"	39	5	"calibrated"	"sum"	4	17459	4147	7824	225	708	1120	201	242	0.0287576687116564	0.283898305084746	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0247128794093519	0.304187192118227
"Diptera"	40	5	"calibrated"	"sum"	5	17459	4168	7824	228	708	1120	199	238	0.0291411042944785	0.281073446327684	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0250205086136177	0.301724137931034
"Diptera"	41	5	"calibrated"	"sum"	6	17459	4187	7824	232	708	1120	199	238	0.0296523517382413	0.281073446327684	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0254306808859721	0.301724137931034
"Diptera"	42	5	"calibrated"	"sum"	7	17459	4205	7824	232	708	1120	196	235	0.0296523517382413	0.27683615819209	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0254306808859721	0.298029556650246
"Diptera"	43	5	"calibrated"	"sum"	8	17459	4218	7824	234	708	1120	194	233	0.0299079754601227	0.274011299435028	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0256357670221493	0.295566502463054
"Diptera"	44	5	"calibrated"	"sum"	9	17459	4232	7824	236	708	1120	193	232	0.0301635991820041	0.272598870056497	1928	16	363	162	314	104	46	0.0082987551867219	0.442307692307692	0.0258408531583265	0.294334975369458
"Diptera"	45	5	"calibrated"	"sum"	10	17459	4251	7824	241	708	1120	192	231	0.0308026584867076	0.271186440677966	1928	16	363	162	314	104	45	0.0082987551867219	0.432692307692308	0.0263535684987695	0.291871921182266
"Diptera"	46	6	"calibrated"	"sum"	2	17459	4175	7824	229	708	1120	206	250	0.0292689161554192	0.290960451977401	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0252255947497949	0.310344827586207
"Diptera"	47	6	"calibrated"	"sum"	3	17459	4194	7824	230	708	1120	203	246	0.0293967280163599	0.286723163841808	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0253281378178835	0.306650246305419
"Diptera"	48	6	"calibrated"	"sum"	4	17459	4223	7824	232	708	1120	198	240	0.0296523517382413	0.279661016949153	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0255332239540607	0.300492610837438
"Diptera"	49	6	"calibrated"	"sum"	5	17459	4244	7824	235	708	1120	196	236	0.0300357873210634	0.27683615819209	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0258408531583265	0.298029556650246
"Diptera"	50	6	"calibrated"	"sum"	6	17459	4263	7824	239	708	1120	196	236	0.0305470347648262	0.27683615819209	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0262510254306809	0.298029556650246
"Diptera"	51	6	"calibrated"	"sum"	7	17459	4281	7824	239	708	1120	193	233	0.0305470347648262	0.272598870056497	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0262510254306809	0.294334975369458
"Diptera"	52	6	"calibrated"	"sum"	8	17459	4294	7824	241	708	1120	191	231	0.0308026584867076	0.269774011299435	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0264561115668581	0.291871921182266
"Diptera"	53	6	"calibrated"	"sum"	9	17459	4307	7824	243	708	1120	190	230	0.031058282208589	0.268361581920904	1928	17	363	162	314	104	46	0.0088174273858921	0.442307692307692	0.0266611977030353	0.29064039408867
"Diptera"	54	6	"calibrated"	"sum"	10	17459	4326	7824	248	708	1120	189	229	0.0316973415132924	0.266949152542373	1928	17	363	162	314	104	45	0.0088174273858921	0.432692307692308	0.0271739130434783	0.288177339901478
"Diptera"	55	7	"calibrated"	"sum"	2	17459	4302	7824	248	708	1120	182	222	0.0316973415132924	0.257062146892655	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0274815422477441	0.280788177339901
"Diptera"	56	7	"calibrated"	"sum"	3	17459	4321	7824	249	708	1120	179	218	0.0318251533742331	0.252824858757062	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0275840853158326	0.277093596059113
"Diptera"	57	7	"calibrated"	"sum"	4	17459	4350	7824	251	708	1120	174	212	0.0320807770961145	0.245762711864407	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0277891714520098	0.270935960591133
"Diptera"	58	7	"calibrated"	"sum"	5	17459	4371	7824	254	708	1120	172	208	0.0324642126789366	0.242937853107345	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0280968006562756	0.268472906403941
"Diptera"	59	7	"calibrated"	"sum"	6	17459	4390	7824	258	708	1120	172	208	0.0329754601226994	0.242937853107345	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.02850697292863	0.268472906403941
"Diptera"	60	7	"calibrated"	"sum"	7	17459	4408	7824	258	708	1120	169	205	0.0329754601226994	0.238700564971751	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.02850697292863	0.264778325123153
"Diptera"	61	7	"calibrated"	"sum"	8	17459	4421	7824	260	708	1120	167	203	0.0332310838445808	0.235875706214689	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0287120590648072	0.262315270935961
"Diptera"	62	7	"calibrated"	"sum"	9	17459	4435	7824	262	708	1120	166	202	0.0334867075664622	0.234463276836158	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0289171452009844	0.261083743842365
"Diptera"	63	7	"calibrated"	"sum"	10	17459	4454	7824	267	708	1120	165	201	0.0341257668711656	0.233050847457627	1928	20	363	162	314	104	45	0.0103734439834025	0.432692307692308	0.0294298605414274	0.258620689655172
"Diptera"	64	8	"calibrated"	"sum"	2	17459	4378	7824	254	708	1120	183	222	0.0324642126789366	0.258474576271186	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0280968006562756	0.282019704433497
"Diptera"	65	8	"calibrated"	"sum"	3	17459	4397	7824	255	708	1120	180	218	0.0325920245398773	0.254237288135593	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0281993437243642	0.278325123152709
"Diptera"	66	8	"calibrated"	"sum"	4	17459	4426	7824	257	708	1120	175	212	0.0328476482617587	0.247175141242938	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0284044298605414	0.272167487684729
"Diptera"	67	8	"calibrated"	"sum"	5	17459	4447	7824	260	708	1120	173	208	0.0332310838445808	0.244350282485876	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0287120590648072	0.269704433497537
"Diptera"	68	8	"calibrated"	"sum"	6	17459	4466	7824	264	708	1120	173	208	0.0337423312883436	0.244350282485876	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0291222313371616	0.269704433497537
"Diptera"	69	8	"calibrated"	"sum"	7	17459	4484	7824	264	708	1120	170	205	0.0337423312883436	0.240112994350282	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0291222313371616	0.266009852216749
"Diptera"	70	8	"calibrated"	"sum"	8	17459	4497	7824	266	708	1120	168	203	0.0339979550102249	0.23728813559322	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.0293273174733388	0.263546798029557
"Diptera"	71	8	"calibrated"	"sum"	9	17459	4510	7824	268	708	1120	167	202	0.0342535787321063	0.235875706214689	1928	20	363	162	314	104	46	0.0103734439834025	0.442307692307692	0.029532403609516	0.262315270935961
