"taxon"	"run"	"eee_run"	"count_type"	"cutoff_type"	"cutoff"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	1	"calibrated"	"sum"	2	19578	5105	8073	232	991	291	0.0287377678682026	0.29364278506559
"Diptera"	2	1	"calibrated"	"sum"	3	19578	5137	8073	233	991	286	0.0288616375572897	0.288597376387487
"Diptera"	3	1	"calibrated"	"sum"	4	19578	5183	8073	235	991	281	0.0291093769354639	0.283551967709384
"Diptera"	4	1	"calibrated"	"sum"	5	19578	5223	8073	238	991	279	0.0294809860027251	0.281533804238143
"Diptera"	5	1	"calibrated"	"sum"	6	19578	5253	8073	242	991	278	0.0299764647590735	0.280524722502523
"Diptera"	6	1	"calibrated"	"sum"	7	19578	5287	8073	242	991	275	0.0299764647590735	0.277497477295661
"Diptera"	7	1	"calibrated"	"sum"	8	19578	5315	8073	244	991	273	0.0302242041372476	0.27547931382442
"Diptera"	8	1	"calibrated"	"sum"	9	19578	5340	8073	246	991	271	0.0304719435154218	0.273461150353179
"Diptera"	9	1	"calibrated"	"sum"	10	19578	5372	8073	253	991	269	0.0313390313390313	0.271442986881937
"Diptera"	10	2	"calibrated"	"sum"	2	19578	5183	8073	243	991	288	0.0301003344481605	0.290615539858729
"Diptera"	11	2	"calibrated"	"sum"	3	19578	5215	8073	244	991	283	0.0302242041372476	0.285570131180626
"Diptera"	12	2	"calibrated"	"sum"	4	19578	5261	8073	246	991	278	0.0304719435154218	0.280524722502523
"Diptera"	13	2	"calibrated"	"sum"	5	19578	5300	8073	249	991	276	0.030843552582683	0.278506559031282
"Diptera"	14	2	"calibrated"	"sum"	6	19578	5330	8073	253	991	275	0.0313390313390313	0.277497477295661
"Diptera"	15	2	"calibrated"	"sum"	7	19578	5364	8073	253	991	272	0.0313390313390313	0.274470232088799
"Diptera"	16	2	"calibrated"	"sum"	8	19578	5392	8073	255	991	270	0.0315867707172055	0.272452068617558
"Diptera"	17	2	"calibrated"	"sum"	9	19578	5415	8073	257	991	268	0.0318345100953797	0.270433905146317
"Diptera"	18	2	"calibrated"	"sum"	10	19578	5447	8073	264	991	266	0.0327015979189892	0.268415741675076
"Diptera"	19	3	"calibrated"	"sum"	2	19578	5059	8073	226	991	308	0.0279945497336802	0.31079717457114
"Diptera"	20	3	"calibrated"	"sum"	3	19578	5091	8073	227	991	303	0.0281184194227673	0.305751765893037
"Diptera"	21	3	"calibrated"	"sum"	4	19578	5137	8073	229	991	298	0.0283661588009414	0.300706357214934
"Diptera"	22	3	"calibrated"	"sum"	5	19578	5177	8073	232	991	296	0.0287377678682026	0.298688193743693
"Diptera"	23	3	"calibrated"	"sum"	6	19578	5207	8073	236	991	295	0.029233246624551	0.297679112008073
"Diptera"	24	3	"calibrated"	"sum"	7	19578	5241	8073	236	991	292	0.029233246624551	0.294651866801211
"Diptera"	25	3	"calibrated"	"sum"	8	19578	5269	8073	238	991	290	0.0294809860027251	0.29263370332997
"Diptera"	26	3	"calibrated"	"sum"	9	19578	5294	8073	240	991	288	0.0297287253808993	0.290615539858729
"Diptera"	27	3	"calibrated"	"sum"	10	19578	5325	8073	246	991	286	0.0304719435154218	0.288597376387487
"Diptera"	28	4	"calibrated"	"sum"	2	19578	5150	8073	237	991	301	0.029357116313638	0.303733602421796
"Diptera"	29	4	"calibrated"	"sum"	3	19578	5182	8073	238	991	296	0.0294809860027251	0.298688193743693
"Diptera"	30	4	"calibrated"	"sum"	4	19578	5228	8073	240	991	291	0.0297287253808993	0.29364278506559
"Diptera"	31	4	"calibrated"	"sum"	5	19578	5267	8073	243	991	289	0.0301003344481605	0.291624621594349
"Diptera"	32	4	"calibrated"	"sum"	6	19578	5297	8073	247	991	288	0.0305958132045089	0.290615539858729
"Diptera"	33	4	"calibrated"	"sum"	7	19578	5331	8073	247	991	285	0.0305958132045089	0.287588294651867
"Diptera"	34	4	"calibrated"	"sum"	8	19578	5359	8073	249	991	283	0.030843552582683	0.285570131180626
"Diptera"	35	4	"calibrated"	"sum"	9	19578	5382	8073	251	991	281	0.0310912919608572	0.283551967709384
"Diptera"	36	4	"calibrated"	"sum"	10	19578	5413	8073	257	991	279	0.0318345100953797	0.281533804238143
"Diptera"	37	5	"calibrated"	"sum"	2	19578	5069	8073	226	991	306	0.0279945497336802	0.308779011099899
"Diptera"	38	5	"calibrated"	"sum"	3	19578	5101	8073	227	991	301	0.0281184194227673	0.303733602421796
"Diptera"	39	5	"calibrated"	"sum"	4	19578	5147	8073	229	991	296	0.0283661588009414	0.298688193743693
"Diptera"	40	5	"calibrated"	"sum"	5	19578	5187	8073	232	991	294	0.0287377678682026	0.296670030272452
"Diptera"	41	5	"calibrated"	"sum"	6	19578	5217	8073	236	991	293	0.029233246624551	0.295660948536832
"Diptera"	42	5	"calibrated"	"sum"	7	19578	5251	8073	236	991	290	0.029233246624551	0.29263370332997
"Diptera"	43	5	"calibrated"	"sum"	8	19578	5279	8073	238	991	288	0.0294809860027251	0.290615539858729
"Diptera"	44	5	"calibrated"	"sum"	9	19578	5304	8073	240	991	286	0.0297287253808993	0.288597376387487
"Diptera"	45	5	"calibrated"	"sum"	10	19578	5335	8073	246	991	284	0.0304719435154218	0.286579212916246
"Diptera"	46	6	"calibrated"	"sum"	2	19578	5160	8073	237	991	299	0.029357116313638	0.301715438950555
"Diptera"	47	6	"calibrated"	"sum"	3	19578	5192	8073	238	991	294	0.0294809860027251	0.296670030272452
"Diptera"	48	6	"calibrated"	"sum"	4	19578	5238	8073	240	991	289	0.0297287253808993	0.291624621594349
"Diptera"	49	6	"calibrated"	"sum"	5	19578	5277	8073	243	991	287	0.0301003344481605	0.289606458123108
"Diptera"	50	6	"calibrated"	"sum"	6	19578	5307	8073	247	991	286	0.0305958132045089	0.288597376387487
"Diptera"	51	6	"calibrated"	"sum"	7	19578	5341	8073	247	991	283	0.0305958132045089	0.285570131180626
"Diptera"	52	6	"calibrated"	"sum"	8	19578	5369	8073	249	991	281	0.030843552582683	0.283551967709384
"Diptera"	53	6	"calibrated"	"sum"	9	19578	5392	8073	251	991	279	0.0310912919608572	0.281533804238143
"Diptera"	54	6	"calibrated"	"sum"	10	19578	5423	8073	257	991	277	0.0318345100953797	0.279515640766902
"Diptera"	55	7	"calibrated"	"sum"	2	19578	5289	8073	254	991	270	0.0314629010281184	0.272452068617558
"Diptera"	56	7	"calibrated"	"sum"	3	19578	5321	8073	255	991	265	0.0315867707172055	0.267406659939455
"Diptera"	57	7	"calibrated"	"sum"	4	19578	5367	8073	257	991	260	0.0318345100953797	0.262361251261352
"Diptera"	58	7	"calibrated"	"sum"	5	19578	5407	8073	260	991	258	0.0322061191626409	0.260343087790111
"Diptera"	59	7	"calibrated"	"sum"	6	19578	5437	8073	264	991	257	0.0327015979189892	0.25933400605449
"Diptera"	60	7	"calibrated"	"sum"	7	19578	5471	8073	264	991	254	0.0327015979189892	0.256306760847629
"Diptera"	61	7	"calibrated"	"sum"	8	19578	5499	8073	266	991	252	0.0329493372971634	0.254288597376387
"Diptera"	62	7	"calibrated"	"sum"	9	19578	5524	8073	268	991	250	0.0331970766753375	0.252270433905146
"Diptera"	63	7	"calibrated"	"sum"	10	19578	5555	8073	274	991	248	0.03394029480986	0.250252270433905
"Diptera"	64	8	"calibrated"	"sum"	2	19578	5382	8073	263	991	264	0.0325777282299021	0.266397578203835
"Diptera"	65	8	"calibrated"	"sum"	3	19578	5414	8073	264	991	259	0.0327015979189892	0.261352169525732
"Diptera"	66	8	"calibrated"	"sum"	4	19578	5460	8073	266	991	254	0.0329493372971634	0.256306760847629
"Diptera"	67	8	"calibrated"	"sum"	5	19578	5499	8073	269	991	252	0.0333209463644246	0.254288597376387
"Diptera"	68	8	"calibrated"	"sum"	6	19578	5529	8073	273	991	251	0.0338164251207729	0.253279515640767
"Diptera"	69	8	"calibrated"	"sum"	7	19578	5563	8073	273	991	248	0.0338164251207729	0.250252270433905
"Diptera"	70	8	"calibrated"	"sum"	8	19578	5591	8073	275	991	246	0.0340641644989471	0.248234106962664
"Diptera"	71	8	"calibrated"	"sum"	9	19578	5614	8073	277	991	244	0.0343119038771213	0.246215943491423
"Diptera"	72	8	"calibrated"	"sum"	10	19578	5645	8073	283	991	242	0.0350551220116437	0.244197780020182
"Diptera"	73	9	"calibrated"	"sum"	2	19578	5136	8073	239	991	291	0.0296048556918122	0.29364278506559
"Diptera"	74	9	"calibrated"	"sum"	3	19578	5168	8073	240	991	286	0.0297287253808993	0.288597376387487
"Diptera"	75	9	"calibrated"	"sum"	4	19578	5214	8073	242	991	281	0.0299764647590735	0.283551967709384
"Diptera"	76	9	"calibrated"	"sum"	5	19578	5254	8073	245	991	279	0.0303480738263347	0.281533804238143
"Diptera"	77	9	"calibrated"	"sum"	6	19578	5284	8073	249	991	278	0.030843552582683	0.280524722502523
"Diptera"	78	9	"calibrated"	"sum"	7	19578	5318	8073	249	991	275	0.030843552582683	0.277497477295661
"Diptera"	79	9	"calibrated"	"sum"	8	19578	5346	8073	251	991	273	0.0310912919608572	0.27547931382442
"Diptera"	80	9	"calibrated"	"sum"	9	19578	5371	8073	253	991	271	0.0313390313390313	0.273461150353179
"Diptera"	81	9	"calibrated"	"sum"	10	19578	5403	8073	260	991	269	0.0322061191626409	0.271442986881937
"Diptera"	82	10	"calibrated"	"sum"	2	19578	5215	8073	250	991	287	0.0309674222717701	0.289606458123108
"Diptera"	83	10	"calibrated"	"sum"	3	19578	5247	8073	251	991	282	0.0310912919608572	0.284561049445005
"Diptera"	84	10	"calibrated"	"sum"	4	19578	5293	8073	253	991	277	0.0313390313390313	0.279515640766902
"Diptera"	85	10	"calibrated"	"sum"	5	19578	5332	8073	256	991	275	0.0317106404062926	0.277497477295661
"Diptera"	86	10	"calibrated"	"sum"	6	19578	5362	8073	260	991	274	0.0322061191626409	0.27648839556004
