"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diptera"	1	"FALSE"	"dadn"	1	17459	8864	7824	2433	708	1120	138	157	0.310966257668712	0.194915254237288	1928	542	363	162	314	104	41	0.281120331950207	0.394230769230769	0.305065627563577	0.220443349753695
"Diptera"	2	"FALSE"	"dadn"	1.2	17459	7891	7824	1902	708	1120	169	194	0.243098159509202	0.238700564971751	1928	402	363	162	314	104	42	0.20850622406639	0.403846153846154	0.236259228876128	0.259852216748768
"Diptera"	3	"FALSE"	"dadn"	1.5	17459	6553	7824	1312	708	1120	218	258	0.167689161554192	0.307909604519774	1928	281	363	162	314	104	48	0.145746887966805	0.461538461538462	0.163351107465135	0.327586206896552
"Diptera"	4	"FALSE"	"dadn"	1.8	17459	5526	7824	901	708	1120	254	299	0.115158486707566	0.358757062146893	1928	187	363	162	314	104	57	0.0969917012448133	0.548076923076923	0.111566858080394	0.383004926108374
"Diptera"	5	"FALSE"	"dadn"	2.1	17459	4676	7824	635	708	1120	301	363	0.0811605316973415	0.425141242937853	1928	120	363	162	314	104	63	0.0622406639004149	0.605769230769231	0.0774200164068909	0.448275862068966
"Diptera"	6	"FALSE"	"dadn"	2.4	17459	3998	7824	434	708	1120	337	416	0.0554703476482618	0.475988700564972	1928	77	363	162	314	104	64	0.0399377593360996	0.615384615384615	0.0523995077932732	0.49384236453202
"Diptera"	7	"FALSE"	"wdadn"	0.8	17459	6443	7824	1367	708	1120	210	254	0.17471881390593	0.296610169491525	1928	315	363	162	314	104	47	0.163381742738589	0.451923076923077	0.172477440525021	0.316502463054187
"Diptera"	8	"FALSE"	"wdadn"	0.9	17459	5815	7824	1095	708	1120	234	283	0.139953987730061	0.330508474576271	1928	243	363	162	314	104	49	0.12603734439834	0.471153846153846	0.137202625102543	0.348522167487685
"Diptera"	9	"FALSE"	"wdadn"	1	17459	5228	7824	854	708	1120	258	314	0.109151329243354	0.364406779661017	1928	194	363	162	314	104	51	0.100622406639004	0.490384615384615	0.10746513535685	0.380541871921182
"Diptera"	10	"FALSE"	"wdadn"	1.1	17459	4747	7824	678	708	1120	282	342	0.0866564417177914	0.398305084745763	1928	164	363	162	314	104	54	0.0850622406639004	0.519230769230769	0.0863412633305989	0.413793103448276
"Diptera"	11	"FALSE"	"wdadn"	1.2	17459	4323	7824	552	708	1120	305	375	0.0705521472392638	0.430790960451977	1928	125	363	162	314	104	57	0.0648340248962656	0.548076923076923	0.0694216570959803	0.445812807881773
"Diptera"	12	"FALSE"	"wdadn"	1.3	17459	3976	7824	427	708	1120	325	401	0.0545756646216769	0.459039548022599	1928	101	363	162	314	104	61	0.0523858921161826	0.586538461538462	0.0541427399507793	0.475369458128079
"Diptera"	13	"TRUE"	"dadn"	0.4	17459	4290	7824	330	708	1120	223	272	0.0421779141104294	0.314971751412429	1928	36	363	162	314	104	50	0.0186721991701245	0.480769230769231	0.0375307629204266	0.336206896551724
"Diptera"	14	"TRUE"	"dadn"	0.6	17459	4106	7824	271	708	1120	225	276	0.0346370143149284	0.317796610169492	1928	29	363	162	314	104	50	0.0150414937759336	0.480769230769231	0.0307629204265792	0.338669950738916
"Diptera"	15	"TRUE"	"dadn"	0.8	17459	3878	7824	230	708	1120	248	305	0.0293967280163599	0.350282485875706	1928	25	363	162	314	104	51	0.0129668049792531	0.490384615384615	0.0261484823625923	0.368226600985222
"Diptera"	16	"TRUE"	"dadn"	1	17459	3681	7824	186	708	1120	265	326	0.0237730061349693	0.374293785310734	1928	17	363	162	314	104	52	0.0088174273858921	0.5	0.0208162428219852	0.390394088669951
"Diptera"	17	"TRUE"	"dadn"	1.2	17459	3477	7824	158	708	1120	284	354	0.0201942740286299	0.401129943502825	1928	16	363	162	314	104	55	0.0082987551867219	0.528846153846154	0.0178424938474159	0.417487684729064
"Diptera"	18	"TRUE"	"dadn"	1.5	17459	3169	7824	113	708	1120	313	395	0.0144427402862986	0.442090395480226	1928	10	363	162	314	104	58	0.0051867219917012	0.557692307692308	0.0126127973748975	0.456896551724138
"Diptera"	19	"TRUE"	"wdadn"	0.1	17459	4359	7824	366	708	1120	220	271	0.0467791411042945	0.310734463276836	1928	36	363	162	314	104	48	0.0186721991701245	0.461538461538462	0.0412223133716161	0.330049261083744
"Diptera"	20	"TRUE"	"wdadn"	0.3	17459	3996	7824	275	708	1120	251	312	0.0351482617586912	0.354519774011299	1928	32	363	162	314	104	52	0.016597510373444	0.5	0.0314807219031993	0.373152709359606
"Diptera"	21	"TRUE"	"wdadn"	0.5	17459	3644	7824	194	708	1120	278	347	0.0247955010224949	0.392655367231638	1928	21	363	162	314	104	51	0.0108921161825726	0.490384615384615	0.0220467596390484	0.405172413793103
"Diptera"	22	"TRUE"	"wdadn"	0.7	17459	3337	7824	137	708	1120	300	382	0.0175102249488753	0.423728813559322	1928	13	363	162	314	104	55	0.0067427385892116	0.528846153846154	0.0153814602132896	0.437192118226601
"Diptera"	23	"TRUE"	"wdadn"	0.9	17459	3041	7824	102	708	1120	331	420	0.0130368098159509	0.467514124293785	1928	8	363	162	314	104	58	0.004149377593361	0.557692307692308	0.0112797374897457	0.479064039408867
"Diptera"	24	"TRUE"	"wdadn"	1.1	17459	2796	7824	82	708	1120	355	456	0.010480572597137	0.501412429378531	1928	7	363	162	314	104	60	0.0036307053941908	0.576923076923077	0.0091263330598851	0.511083743842364
"Diptera"	25	"FALSE"	"dadn"	2.7	17459	3452	7824	297	708	1120	373	468	0.0379601226993865	0.52683615819209	1928	51	363	162	314	104	66	0.0264522821576763	0.634615384615385	0.0356849876948318	0.54064039408867
"Diptera"	26	"FALSE"	"dadn"	3	17459	3037	7824	216	708	1120	408	520	0.0276073619631902	0.576271186440678	1928	32	363	162	314	104	69	0.016597510373444	0.663461538461538	0.0254306808859721	0.58743842364532
"Diptera"	27	"FALSE"	"dadn"	3.5	17459	2545	7824	130	708	1120	446	591	0.0166155419222904	0.629943502824859	1928	14	363	162	314	104	76	0.0072614107883817	0.730769230769231	0.014766201804758	0.642857142857143
"Diptera"	28	"FALSE"	"wdadn"	1.5	17459	3426	7824	288	708	1120	370	458	0.0368098159509202	0.522598870056497	1928	54	363	162	314	104	64	0.0280082987551867	0.615384615384615	0.0350697292863002	0.53448275862069
"Diptera"	29	"FALSE"	"wdadn"	1.7	17459	3024	7824	197	708	1120	396	499	0.025178936605317	0.559322033898305	1928	38	363	162	314	104	66	0.0197095435684647	0.634615384615385	0.0240976210008203	0.568965517241379
"Diptera"	30	"FALSE"	"wdadn"	2	17459	2597	7824	131	708	1120	434	571	0.0167433537832311	0.612994350282486	1928	18	363	162	314	104	73	0.0093360995850622	0.701923076923077	0.015278917145201	0.624384236453202
"Diptera"	31	"FALSE"	"wdadn"	2.5	17459	2135	7824	66	708	1120	480	656	0.0084355828220858	0.677966101694915	1928	5	363	162	314	104	77	0.0025933609958506	0.740384615384615	0.0072805578342904	0.685960591133005
"Diptera"	32	"FALSE"	"wdadn"	3	17459	1822	7824	44	708	1120	519	721	0.0056237218813905	0.733050847457627	1928	4	363	162	314	104	84	0.0020746887966805	0.807692307692308	0.0049220672682526	0.742610837438424
"Diptera"	33	"FALSE"	"wdadn"	3.5	17459	1593	7824	27	708	1120	543	768	0.0034509202453987	0.766949152542373	1928	0	363	162	314	104	87	0	0.836538461538462	0.0027686628383921	0.775862068965517
"Diptera"	34	"FALSE"	"wdadn"	4	17459	1415	7824	23	708	1120	567	810	0.0029396728016359	0.800847457627119	1928	2	363	162	314	104	90	0.0010373443983402	0.865384615384615	0.0025635767022149	0.809113300492611
"Diptera"	35	"FALSE"	"dadn"	4	17459	2154	7824	94	708	1120	476	654	0.0120143149284254	0.672316384180791	1928	9	363	162	314	104	80	0.0046680497925311	0.769230769230769	0.0105619360131255	0.684729064039409
"Diptera"	36	"FALSE"	"dadn"	4.5	17459	1902	7824	72	708	1120	514	707	0.00920245398773	0.725988700564972	1928	7	363	162	314	104	84	0.0036307053941908	0.807692307692308	0.0081009023789991	0.736453201970443
"Diptera"	37	"FALSE"	"dadn"	5	17459	1662	7824	52	708	1120	533	746	0.0066462167689161	0.752824858757062	1928	5	363	162	314	104	87	0.0025933609958506	0.836538461538462	0.00584495488105	0.763546798029557
"Diptera"	38	"FALSE"	"dadn"	6	17459	1300	7824	32	708	1120	584	835	0.0040899795501022	0.824858757062147	1928	4	363	162	314	104	93	0.0020746887966805	0.894230769230769	0.0036915504511895	0.833743842364532
"Diptera"	39	"TRUE"	"dadn"	1.8	17459	2888	7824	93	708	1120	337	430	0.0118865030674847	0.475988700564972	1928	8	363	162	314	104	63	0.004149377593361	0.605769230769231	0.0103568498769483	0.492610837438424
"Diptera"	40	"TRUE"	"dadn"	2.1	17459	2592	7824	76	708	1120	372	487	0.0097137014314928	0.525423728813559	1928	4	363	162	314	104	66	0.0020746887966805	0.634615384615385	0.0082034454470877	0.539408866995074
"Diptera"	41	"TRUE"	"dadn"	2.4	17459	2325	7824	59	708	1120	400	536	0.007540899795501	0.564971751412429	1928	3	363	162	314	104	71	0.0015560165975103	0.682692307692308	0.006357670221493	0.580049261083744
"Diptera"	42	"TRUE"	"dadn"	2.7	17459	2110	7824	49	708	1120	431	589	0.006262781186094	0.608757062146893	1928	1	363	162	314	104	73	0.0005186721991701	0.701923076923077	0.0051271534044298	0.620689655172414
"Diptera"	43	"TRUE"	"wdadn"	1.2	17459	2666	7824	69	708	1120	369	477	0.0088190184049079	0.521186440677966	1928	4	363	162	314	104	61	0.0020746887966805	0.586538461538462	0.0074856439704676	0.529556650246305
"Diptera"	44	"TRUE"	"wdadn"	1.3	17459	2538	7824	59	708	1120	382	502	0.007540899795501	0.53954802259887	1928	3	363	162	314	104	63	0.0015560165975103	0.605769230769231	0.006357670221493	0.548029556650246
"Diptera"	45	"TRUE"	"wdadn"	1.5	17459	2301	7824	51	708	1120	419	559	0.0065184049079754	0.59180790960452	1928	2	363	162	314	104	68	0.0010373443983402	0.653846153846154	0.0054347826086956	0.599753694581281
"Diptera"	46	"TRUE"	"wdadn"	1.7	17459	2097	7824	43	708	1120	445	607	0.0054959100204499	0.628531073446328	1928	1	363	162	314	104	71	0.0005186721991701	0.682692307692308	0.0045118949958982	0.635467980295567
"Hymenoptera"	1	"FALSE"	"dadn"	1	14315	10190	5452	3375	338	445	27	30	0.619038884812913	0.0798816568047337	778	429	28	12	14	2	0	0.551413881748072	0	0.610593900481541	0.0794117647058824
"Hymenoptera"	2	"FALSE"	"dadn"	1.2	14315	9650	5452	3116	338	445	39	42	0.571533382245048	0.115384615384615	778	393	28	12	14	2	0	0.505141388174807	0	0.563242375601926	0.114705882352941
"Hymenoptera"	3	"FALSE"	"dadn"	1.5	14315	8602	5452	2665	338	445	58	66	0.488811445341159	0.171597633136095	778	331	28	12	14	2	0	0.425449871465296	0	0.480898876404494	0.170588235294118
"Hymenoptera"	4	"FALSE"	"dadn"	1.8	14315	7494	5452	2217	338	445	89	102	0.406639765223771	0.263313609467456	778	240	28	12	14	2	0	0.308483290488432	0	0.39438202247191	0.261764705882353
"Hymenoptera"	5	"FALSE"	"dadn"	2.1	14315	6350	5452	1730	338	445	110	129	0.317314746881878	0.325443786982249	778	167	28	12	14	2	1	0.214652956298201	0.5	0.304494382022472	0.326470588235294
"Hymenoptera"	6	"FALSE"	"dadn"	2.4	14315	5279	5452	1325	338	445	123	144	0.243030080704329	0.363905325443787	778	117	28	12	14	2	1	0.150385604113111	0.5	0.231460674157303	0.364705882352941
"Hymenoptera"	7	"FALSE"	"wdadn"	0.8	14315	8051	5452	2360	338	445	71	79	0.432868672046955	0.210059171597633	778	271	28	12	14	2	0	0.348329048843188	0	0.4223113964687	0.208823529411765
"Hymenoptera"	8	"FALSE"	"wdadn"	0.9	14315	7414	5452	2093	338	445	83	91	0.383895818048423	0.245562130177515	778	228	28	12	14	2	0	0.29305912596401	0	0.372552166934189	0.244117647058824
"Hymenoptera"	9	"FALSE"	"wdadn"	1	14315	6751	5452	1819	338	445	92	107	0.333639031548056	0.272189349112426	778	182	28	12	14	2	1	0.233933161953728	0.5	0.321187800963082	0.273529411764706
"Hymenoptera"	10	"FALSE"	"wdadn"	1.1	14315	6179	5452	1577	338	445	107	123	0.28925165077036	0.316568047337278	778	143	28	12	14	2	1	0.183804627249357	0.5	0.276083467094703	0.317647058823529
"Hymenoptera"	11	"FALSE"	"wdadn"	1.2	14315	5538	5452	1296	338	445	123	142	0.237710931768158	0.363905325443787	778	108	28	12	14	2	1	0.138817480719794	0.5	0.225361155698234	0.364705882352941
"Hymenoptera"	12	"FALSE"	"wdadn"	1.3	14315	4992	5452	1084	338	445	133	155	0.198826118855466	0.393491124260355	778	85	28	12	14	2	1	0.109254498714653	0.5	0.187640449438202	0.394117647058824
"Hymenoptera"	13	"TRUE"	"dadn"	0.4	14315	3151	5452	205	338	445	141	167	0.0376008804108584	0.417159763313609	778	7	28	12	14	2	1	0.0089974293059126	0.5	0.0340288924558587	0.417647058823529
"Hymenoptera"	14	"TRUE"	"dadn"	0.6	14315	3070	5452	195	338	445	140	167	0.0357666911225238	0.414201183431953	778	6	28	12	14	2	1	0.0077120822622108	0.5	0.0322632423756019	0.414705882352941
"Hymenoptera"	15	"TRUE"	"dadn"	0.8	14315	2947	5452	181	338	445	145	173	0.0331988261188555	0.428994082840237	778	6	28	12	14	2	1	0.0077120822622108	0.5	0.030016051364366	0.429411764705882
"Hymenoptera"	16	"TRUE"	"dadn"	1	14315	2810	5452	166	338	445	151	181	0.0304475421863536	0.446745562130178	778	5	28	12	14	2	1	0.006426735218509	0.5	0.0274478330658106	0.447058823529412
"Hymenoptera"	17	"TRUE"	"dadn"	1.2	14315	2678	5452	155	338	445	162	193	0.0284299339691856	0.479289940828402	778	5	28	12	14	2	1	0.006426735218509	0.5	0.0256821829855538	0.479411764705882
"Hymenoptera"	18	"TRUE"	"dadn"	1.5	14315	2440	5452	134	338	445	172	208	0.0245781364636831	0.50887573964497	778	5	28	12	14	2	1	0.006426735218509	0.5	0.0223113964686998	0.508823529411765
"Hymenoptera"	19	"TRUE"	"wdadn"	0.1	14315	3149	5452	201	338	445	143	169	0.0368672046955246	0.423076923076923	778	7	28	12	14	2	1	0.0089974293059126	0.5	0.0333868378812199	0.423529411764706
"Hymenoptera"	20	"TRUE"	"wdadn"	0.3	14315	2974	5452	186	338	445	157	187	0.0341159207630227	0.464497041420118	778	6	28	12	14	2	1	0.0077120822622108	0.5	0.0308186195826645	0.464705882352941
"Hymenoptera"	21	"TRUE"	"wdadn"	0.5	14315	2769	5452	158	338	445	162	195	0.028980190755686	0.479289940828402	778	5	28	12	14	2	1	0.006426735218509	0.5	0.0261637239165329	0.479411764705882
"Hymenoptera"	22	"TRUE"	"wdadn"	0.7	14315	2561	5452	129	338	445	173	210	0.0236610418195158	0.511834319526627	778	4	28	12	14	2	1	0.0051413881748072	0.5	0.0213483146067416	0.511764705882353
