"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	25	FALSE	"dadn"	2.7	19578	4410	8073	333	991	537	0.0412486064659978	0.541876892028254
"Diptera"	26	FALSE	"dadn"	3	19578	3951	8073	251	991	574	0.0310912919608572	0.579212916246216
"Diptera"	27	FALSE	"dadn"	3.5	19578	3398	8073	166	991	623	0.0205623683884553	0.628657921291625
"Diptera"	28	FALSE	"wdadn"	1.5	19578	4318	8073	321	991	537	0.0397621701969528	0.541876892028254
"Diptera"	29	FALSE	"wdadn"	1.7	19578	3866	8073	230	991	570	0.0284900284900285	0.575176589303734
"Diptera"	30	FALSE	"wdadn"	2	19578	3398	8073	164	991	613	0.0203146290102812	0.618567103935419
"Blattodea"	25	FALSE	"dadn"	2.7	49	26	5	0	2	2	0	1
"Blattodea"	26	FALSE	"dadn"	3	49	24	5	0	2	2	0	1
"Blattodea"	27	FALSE	"dadn"	3.5	49	22	5	0	2	2	0	1
"Blattodea"	28	FALSE	"wdadn"	1.5	49	27	5	1	2	2	0.2	1
"Blattodea"	29	FALSE	"wdadn"	1.7	49	26	5	0	2	2	0	1
"Blattodea"	30	FALSE	"wdadn"	2	49	24	5	0	2	2	0	1
"Hymenoptera"	25	FALSE	"dadn"	2.7	15886	5223	5680	1081	491	229	0.190316901408451	0.466395112016293
"Hymenoptera"	26	FALSE	"dadn"	3	15886	4444	5680	823	491	254	0.144894366197183	0.517311608961303
"Hymenoptera"	27	FALSE	"dadn"	3.5	15886	3556	5680	545	491	293	0.0959507042253521	0.596741344195519
"Hymenoptera"	28	FALSE	"wdadn"	1.5	15886	4938	5680	857	491	238	0.150880281690141	0.484725050916497
"Hymenoptera"	29	FALSE	"wdadn"	1.7	15886	4270	5680	633	491	269	0.111443661971831	0.54786150712831
"Hymenoptera"	30	FALSE	"wdadn"	2	15886	3542	5680	431	491	292	0.0758802816901408	0.594704684317719
"Orthoptera"	25	FALSE	"dadn"	2.7	1431	1189	27	6	13	8	0.222222222222222	0.615384615384615
"Orthoptera"	26	FALSE	"dadn"	3	1431	1177	27	5	13	8	0.185185185185185	0.615384615384615
"Orthoptera"	27	FALSE	"dadn"	3.5	1431	1163	27	5	13	8	0.185185185185185	0.615384615384615
"Orthoptera"	28	FALSE	"wdadn"	1.5	1431	1195	27	5	13	7	0.185185185185185	0.538461538461538
"Orthoptera"	29	FALSE	"wdadn"	1.7	1431	1187	27	5	13	7	0.185185185185185	0.538461538461538
"Orthoptera"	30	FALSE	"wdadn"	2	1431	1177	27	5	13	8	0.185185185185185	0.615384615384615
"Coleoptera"	25	FALSE	"dadn"	2.7	3107	449	1698	13	233	135	0.00765606595995289	0.579399141630901
"Coleoptera"	26	FALSE	"dadn"	3	3107	400	1698	8	233	146	0.00471142520612485	0.626609442060086
"Coleoptera"	27	FALSE	"dadn"	3.5	3107	355	1698	7	233	157	0.00412249705535925	0.67381974248927
"Coleoptera"	28	FALSE	"wdadn"	1.5	3107	530	1698	18	233	120	0.0106007067137809	0.515021459227468
"Coleoptera"	29	FALSE	"wdadn"	1.7	3107	482	1698	12	233	124	0.00706713780918728	0.532188841201717
"Coleoptera"	30	FALSE	"wdadn"	2	3107	425	1698	9	233	138	0.00530035335689046	0.592274678111588
"Entomobryomorpha"	25	FALSE	"dadn"	2.7	976	385	193	3	82	68	0.0155440414507772	0.829268292682927
"Entomobryomorpha"	26	FALSE	"dadn"	3	976	357	193	3	82	69	0.0155440414507772	0.841463414634146
"Entomobryomorpha"	27	FALSE	"dadn"	3.5	976	323	193	2	82	71	0.0103626943005181	0.865853658536585
"Entomobryomorpha"	28	FALSE	"wdadn"	1.5	976	410	193	5	82	63	0.0259067357512953	0.768292682926829
"Entomobryomorpha"	29	FALSE	"wdadn"	1.7	976	382	193	3	82	65	0.0155440414507772	0.792682926829268
"Entomobryomorpha"	30	FALSE	"wdadn"	2	976	319	193	2	82	69	0.0103626943005181	0.841463414634146
"Hemiptera"	25	FALSE	"dadn"	2.7	2142	291	878	19	116	72	0.0216400911161731	0.620689655172414
"Hemiptera"	26	FALSE	"dadn"	3	2142	267	878	15	116	77	0.0170842824601367	0.663793103448276
"Hemiptera"	27	FALSE	"dadn"	3.5	2142	225	878	10	116	83	0.0113895216400911	0.71551724137931
"Hemiptera"	28	FALSE	"wdadn"	1.5	2142	336	878	21	116	59	0.0239179954441913	0.508620689655172
"Hemiptera"	29	FALSE	"wdadn"	1.7	2142	296	878	16	116	72	0.0182232346241458	0.620689655172414
"Hemiptera"	30	FALSE	"wdadn"	2	2142	249	878	6	116	79	0.00683371298405467	0.681034482758621
"Lepidoptera"	25	FALSE	"dadn"	2.7	1968	218	1587	47	47	15	0.0296156269691241	0.319148936170213
"Lepidoptera"	26	FALSE	"dadn"	3	1968	198	1587	36	47	19	0.0226843100189036	0.404255319148936
"Lepidoptera"	27	FALSE	"dadn"	3.5	1968	175	1587	28	47	21	0.017643352236925	0.446808510638298
"Lepidoptera"	28	FALSE	"wdadn"	1.5	1968	241	1587	68	47	17	0.0428481411468179	0.361702127659574
"Lepidoptera"	29	FALSE	"wdadn"	1.7	1968	210	1587	48	47	19	0.0302457466918715	0.404255319148936
"Lepidoptera"	30	FALSE	"wdadn"	2	1968	182	1587	34	47	20	0.021424070573409	0.425531914893617
"Dermaptera"	25	FALSE	"dadn"	2.7	9	0	5	0	0	0	0	NA
"Dermaptera"	26	FALSE	"dadn"	3	9	0	5	0	0	0	0	NA
"Dermaptera"	27	FALSE	"dadn"	3.5	9	0	5	0	0	0	0	NA
"Dermaptera"	28	FALSE	"wdadn"	1.5	9	0	5	0	0	0	0	NA
"Dermaptera"	29	FALSE	"wdadn"	1.7	9	0	5	0	0	0	0	NA
"Dermaptera"	30	FALSE	"wdadn"	2	9	0	5	0	0	0	0	NA
"Plecoptera"	25	FALSE	"dadn"	2.7	64	12	38	1	9	5	0.0263157894736842	0.555555555555556
"Plecoptera"	26	FALSE	"dadn"	3	64	10	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	27	FALSE	"dadn"	3.5	64	7	38	0	9	7	0	0.777777777777778
"Plecoptera"	28	FALSE	"wdadn"	1.5	64	11	38	1	9	5	0.0263157894736842	0.555555555555556
"Plecoptera"	29	FALSE	"wdadn"	1.7	64	11	38	1	9	5	0.0263157894736842	0.555555555555556
"Plecoptera"	30	FALSE	"wdadn"	2	64	10	38	1	9	5	0.0263157894736842	0.555555555555556
"Psocodea"	25	FALSE	"dadn"	2.7	131	30	67	1	15	13	0.0149253731343284	0.866666666666667
"Psocodea"	26	FALSE	"dadn"	3	131	27	67	1	15	13	0.0149253731343284	0.866666666666667
"Psocodea"	27	FALSE	"dadn"	3.5	131	20	67	1	15	14	0.0149253731343284	0.933333333333333
"Psocodea"	28	FALSE	"wdadn"	1.5	131	29	67	1	15	14	0.0149253731343284	0.933333333333333
"Psocodea"	29	FALSE	"wdadn"	1.7	131	27	67	1	15	15	0.0149253731343284	1
"Psocodea"	30	FALSE	"wdadn"	2	131	23	67	1	15	15	0.0149253731343284	1
"Symphypleona"	25	FALSE	"dadn"	2.7	239	63	70	3	24	19	0.0428571428571429	0.791666666666667
"Symphypleona"	26	FALSE	"dadn"	3	239	60	70	3	24	20	0.0428571428571429	0.833333333333333
"Symphypleona"	27	FALSE	"dadn"	3.5	239	57	70	2	24	20	0.0285714285714286	0.833333333333333
"Symphypleona"	28	FALSE	"wdadn"	1.5	239	62	70	2	24	20	0.0285714285714286	0.833333333333333
"Symphypleona"	29	FALSE	"wdadn"	1.7	239	60	70	2	24	20	0.0285714285714286	0.833333333333333
"Symphypleona"	30	FALSE	"wdadn"	2	239	56	70	1	24	20	0.0142857142857143	0.833333333333333
"Trichoptera"	25	FALSE	"dadn"	2.7	470	17	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	26	FALSE	"dadn"	3	470	15	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	27	FALSE	"dadn"	3.5	470	15	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	28	FALSE	"wdadn"	1.5	470	19	157	1	5	3	0.00636942675159236	0.6
"Trichoptera"	29	FALSE	"wdadn"	1.7	470	18	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	30	FALSE	"wdadn"	2	470	17	157	1	5	4	0.00636942675159236	0.8
"Mecoptera"	25	FALSE	"dadn"	2.7	10	1	5	0	0	0	0	NA
"Mecoptera"	26	FALSE	"dadn"	3	10	1	5	0	0	0	0	NA
"Mecoptera"	27	FALSE	"dadn"	3.5	10	1	5	0	0	0	0	NA
"Mecoptera"	28	FALSE	"wdadn"	1.5	10	1	5	0	0	0	0	NA
"Mecoptera"	29	FALSE	"wdadn"	1.7	10	1	5	0	0	0	0	NA
"Mecoptera"	30	FALSE	"wdadn"	2	10	1	5	0	0	0	0	NA
"Raphidioptera"	25	FALSE	"dadn"	2.7	5	0	3	0	0	0	0	NA
"Raphidioptera"	26	FALSE	"dadn"	3	5	0	3	0	0	0	0	NA
"Raphidioptera"	27	FALSE	"dadn"	3.5	5	0	3	0	0	0	0	NA
"Raphidioptera"	28	FALSE	"wdadn"	1.5	5	0	3	0	0	0	0	NA
"Raphidioptera"	29	FALSE	"wdadn"	1.7	5	0	3	0	0	0	0	NA
"Raphidioptera"	30	FALSE	"wdadn"	2	5	0	3	0	0	0	0	NA
"Thysanoptera"	25	FALSE	"dadn"	2.7	80	5	57	3	3	2	0.0526315789473684	0.666666666666667
"Thysanoptera"	26	FALSE	"dadn"	3	80	5	57	3	3	2	0.0526315789473684	0.666666666666667
