"taxon"	"run"	"method"	"cutoff"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diptera"	1	"hmm"	160	17459	15	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	2	"hmm"	165	17459	15	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	3	"hmm"	170	17459	16	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	4	"hmm"	175	17459	18	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	5	"hmm"	180	17459	21	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	6	"hmm"	185	17459	24	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	7	"hmm"	190	17459	26	7824	0	708	1120	707	1114	0	0.998587570621469	1928	0	363	162	314	104	104	0	1	0	0.998768472906404
"Diptera"	8	"hmm"	195	17459	31	7824	0	708	1120	705	1112	0	0.995762711864407	1928	0	363	162	314	104	104	0	1	0	0.996305418719212
"Diptera"	9	"hmm"	200	17459	61	7824	0	708	1120	693	1096	0	0.978813559322034	1928	0	363	162	314	104	104	0	1	0	0.981527093596059
"Diptera"	10	"hmm"	205	17459	70	7824	0	708	1120	693	1094	0	0.978813559322034	1928	0	363	162	314	104	104	0	1	0	0.981527093596059
"Diptera"	11	"hmm"	210	17459	84	7824	0	708	1120	692	1092	0	0.977401129943503	1928	0	363	162	314	104	103	0	0.990384615384615	0	0.979064039408867
"Diptera"	12	"hmm"	215	17459	100	7824	0	708	1120	691	1089	0	0.975988700564972	1928	0	363	162	314	104	103	0	0.990384615384615	0	0.977832512315271
"Diptera"	13	"hmm"	220	17459	140	7824	0	708	1120	688	1083	0	0.971751412429379	1928	0	363	162	314	104	102	0	0.980769230769231	0	0.972906403940887
"Diptera"	14	"hmm"	225	17459	228	7824	1	708	1120	675	1052	0.000127811860940695	0.953389830508475	1928	0	363	162	314	104	102	0	0.980769230769231	0.000102543068088597	0.956896551724138
"Diptera"	15	"hmm"	230	17459	319	7824	2	708	1120	663	1029	0.000255623721881391	0.936440677966102	1928	0	363	162	314	104	101	0	0.971153846153846	0.000205086136177194	0.940886699507389
"Diptera"	16	"hmm"	235	17459	485	7824	3	708	1120	655	1008	0.000383435582822086	0.925141242937853	1928	0	363	162	314	104	98	0	0.942307692307692	0.000307629204265792	0.927339901477833
"Diptera"	17	"hmm"	240	17459	716	7824	11	708	1120	628	950	0.00140593047034765	0.887005649717514	1928	0	363	162	314	104	97	0	0.932692307692308	0.00112797374897457	0.892857142857143
"Diptera"	18	"hmm"	245	17459	1143	7824	40	708	1120	595	884	0.00511247443762781	0.840395480225989	1928	0	363	162	314	104	91	0	0.875	0.00410172272354389	0.844827586206897
"Diptera"	19	"hmm"	250	17459	3127	7824	490	708	1120	539	783	0.0626278118609407	0.761299435028249	1928	1	363	162	314	104	83	0.000518672199170124	0.798076923076923	0.0503486464315012	0.766009852216749
"Diptera"	20	"hmm"	255	17459	5539	7824	1135	708	1120	452	652	0.145066462167689	0.638418079096045	1928	6	363	162	314	104	75	0.00311203319502075	0.721153846153846	0.117001640689089	0.649014778325123
"Diptera"	21	"hmm"	260	17459	9599	7824	2822	708	1120	219	311	0.360685071574642	0.309322033898305	1928	430	363	162	314	104	26	0.223029045643154	0.25	0.333470057424118	0.301724137931034
"Diptera"	22	"hmm"	265	17459	17450	7824	7819	708	1120	0	0	0.999360940695297	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999384741591468	0
"Diptera"	23	"hmm"	270	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	24	"hmm"	275	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	25	"hmm"	280	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	26	"hmm"	285	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	27	"hmm"	290	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	28	"hmm"	295	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Diptera"	29	"hmm"	300	17459	17453	7824	7822	708	1120	0	0	0.999744376278119	0	1928	1927	363	162	314	104	0	0.99948132780083	0	0.999692370795734	0
"Hymenoptera"	1	"hmm"	160	14315	3	5452	0	338	445	338	445	0	1	778	0	28	12	14	2	2	0	1	0	1
"Hymenoptera"	2	"hmm"	165	14315	3	5452	0	338	445	338	445	0	1	778	0	28	12	14	2	2	0	1	0	1
"Hymenoptera"	3	"hmm"	170	14315	7	5452	0	338	445	338	444	0	1	778	0	28	12	14	2	2	0	1	0	1
"Hymenoptera"	4	"hmm"	175	14315	9	5452	0	338	445	338	444	0	1	778	0	28	12	14	2	2	0	1	0	1
"Hymenoptera"	5	"hmm"	180	14315	13	5452	0	338	445	338	444	0	1	778	0	28	12	14	2	2	0	1	0	1
"Hymenoptera"	6	"hmm"	185	14315	20	5452	0	338	445	337	443	0	0.997041420118343	778	0	28	12	14	2	2	0	1	0	0.997058823529412
"Hymenoptera"	7	"hmm"	190	14315	25	5452	0	338	445	337	442	0	0.997041420118343	778	0	28	12	14	2	2	0	1	0	0.997058823529412
"Hymenoptera"	8	"hmm"	195	14315	33	5452	0	338	445	337	442	0	0.997041420118343	778	0	28	12	14	2	2	0	1	0	0.997058823529412
"Hymenoptera"	9	"hmm"	200	14315	48	5452	0	338	445	336	441	0	0.994082840236686	778	0	28	12	14	2	2	0	1	0	0.994117647058824
"Hymenoptera"	10	"hmm"	205	14315	82	5452	1	338	445	335	439	0.000183418928833456	0.99112426035503	778	0	28	12	14	2	2	0	1	0.000160513643659711	0.991176470588235
"Hymenoptera"	11	"hmm"	210	14315	143	5452	4	338	445	333	435	0.000733675715333822	0.985207100591716	778	0	28	12	14	2	2	0	1	0.000642054574638844	0.985294117647059
