"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"
1	9	TRUE	"wdadn"	1.1
2	9	TRUE	"dadn"	1.8
3	10	TRUE	"wdadn"	1.1
4	10	TRUE	"dadn"	1.8
5	27	TRUE	"wdadn"	1.1
6	27	TRUE	"dadn"	1.8
7	28	TRUE	"wdadn"	1.1
8	28	TRUE	"dadn"	1.8
9	9	FALSE	"wdadn"	3.0
10	10	FALSE	"wdadn"	3.0
11	27	FALSE	"wdadn"	3.0
12	28	FALSE	"wdadn"	3.0
13	3	TRUE	"wdadn"	1.1
14	3	TRUE	"dadn"	1.8
15	4	TRUE	"wdadn"	1.1
16	4	TRUE	"dadn"	1.8
17	19	TRUE	"wdadn"	1.1
18	19	TRUE	"dadn"	1.8
19	20	TRUE	"wdadn"	1.1
20	20	TRUE	"dadn"	1.8
21	7	TRUE	"wdadn"	1.1
22	7	TRUE	"dadn"	1.8
23	8	TRUE	"wdadn"	1.1
24	8	TRUE	"dadn"	1.8
25	3	FALSE	"wdadn"	3.0
26	4	FALSE	"wdadn"	3.0
27	7	FALSE	"wdadn"	3.0
28	8	FALSE	"wdadn"	3.0
29	19	FALSE	"wdadn"	3.0
30	20	FALSE	"wdadn"	3.0
