run	eee_run	count_type	cutoff_type	cutoff
1	1	calibrated	sum	2
2	1	calibrated	sum	3
3	1	calibrated	sum	4
4	1	calibrated	sum	5
5	1	calibrated	sum	6
6	1	calibrated	sum	7
7	1	calibrated	sum	8
8	1	calibrated	sum	9
9	1	calibrated	sum	10
10	2	calibrated	sum	2
11	2	calibrated	sum	3
12	2	calibrated	sum	4
13	2	calibrated	sum	5
14	2	calibrated	sum	6
15	2	calibrated	sum	7
16	2	calibrated	sum	8
17	2	calibrated	sum	9
18	2	calibrated	sum	10
19	3	calibrated	sum	2
20	3	calibrated	sum	3
21	3	calibrated	sum	4
22	3	calibrated	sum	5
23	3	calibrated	sum	6
24	3	calibrated	sum	7
25	3	calibrated	sum	8
26	3	calibrated	sum	9
27	3	calibrated	sum	10
28	4	calibrated	sum	2
29	4	calibrated	sum	3
30	4	calibrated	sum	4
31	4	calibrated	sum	5
32	4	calibrated	sum	6
33	4	calibrated	sum	7
34	4	calibrated	sum	8
35	4	calibrated	sum	9
36	4	calibrated	sum	10
37	5	calibrated	sum	2
38	5	calibrated	sum	3
39	5	calibrated	sum	4
40	5	calibrated	sum	5
41	5	calibrated	sum	6
42	5	calibrated	sum	7
43	5	calibrated	sum	8
44	5	calibrated	sum	9
45	5	calibrated	sum	10
46	6	calibrated	sum	2
47	6	calibrated	sum	3
48	6	calibrated	sum	4
49	6	calibrated	sum	5
50	6	calibrated	sum	6
51	6	calibrated	sum	7
52	6	calibrated	sum	8
53	6	calibrated	sum	9
54	6	calibrated	sum	10
55	7	calibrated	sum	2
56	7	calibrated	sum	3
57	7	calibrated	sum	4
58	7	calibrated	sum	5
59	7	calibrated	sum	6
60	7	calibrated	sum	7
61	7	calibrated	sum	8
62	7	calibrated	sum	9
63	7	calibrated	sum	10
64	8	calibrated	sum	2
65	8	calibrated	sum	3
66	8	calibrated	sum	4
67	8	calibrated	sum	5
68	8	calibrated	sum	6
69	8	calibrated	sum	7
70	8	calibrated	sum	8
71	8	calibrated	sum	9
72	8	calibrated	sum	10
73	9	calibrated	sum	2
74	9	calibrated	sum	3
75	9	calibrated	sum	4
76	9	calibrated	sum	5
77	9	calibrated	sum	6
78	9	calibrated	sum	7
79	9	calibrated	sum	8
80	9	calibrated	sum	9
81	9	calibrated	sum	10
82	10	calibrated	sum	2
83	10	calibrated	sum	3
84	10	calibrated	sum	4
85	10	calibrated	sum	5
86	10	calibrated	sum	6
87	10	calibrated	sum	7
88	10	calibrated	sum	8
89	10	calibrated	sum	9
90	10	calibrated	sum	10
91	11	calibrated	sum	2
92	11	calibrated	sum	3
93	11	calibrated	sum	4
94	11	calibrated	sum	5
95	11	calibrated	sum	6
96	11	calibrated	sum	7
97	11	calibrated	sum	8
98	11	calibrated	sum	9
99	11	calibrated	sum	10
100	12	calibrated	sum	2
101	12	calibrated	sum	3
102	12	calibrated	sum	4
103	12	calibrated	sum	5
104	12	calibrated	sum	6
105	12	calibrated	sum	7
106	12	calibrated	sum	8
107	12	calibrated	sum	9
108	12	calibrated	sum	10
109	1	raw	max	2
110	1	raw	max	3
111	1	raw	max	4
112	1	raw	max	5
113	1	raw	max	6
114	1	raw	max	7
115	1	raw	max	8
116	1	raw	max	9
117	1	raw	max	10
118	2	raw	max	2
119	2	raw	max	3
120	2	raw	max	4
121	2	raw	max	5
122	2	raw	max	6
123	2	raw	max	7
124	2	raw	max	8
125	2	raw	max	9
126	2	raw	max	10
127	3	raw	max	2
128	3	raw	max	3
129	3	raw	max	4
130	3	raw	max	5
131	3	raw	max	6
132	3	raw	max	7
133	3	raw	max	8
134	3	raw	max	9
135	3	raw	max	10
136	4	raw	max	2
137	4	raw	max	3
138	4	raw	max	4
139	4	raw	max	5
140	4	raw	max	6
141	4	raw	max	7
142	4	raw	max	8
143	4	raw	max	9
144	4	raw	max	10
145	5	raw	max	2
146	5	raw	max	3
147	5	raw	max	4
148	5	raw	max	5
149	5	raw	max	6
150	5	raw	max	7
151	5	raw	max	8
152	5	raw	max	9
153	5	raw	max	10
154	6	raw	max	2
155	6	raw	max	3
156	6	raw	max	4
157	6	raw	max	5
158	6	raw	max	6
159	6	raw	max	7
160	6	raw	max	8
161	6	raw	max	9
162	6	raw	max	10
163	7	raw	max	2
164	7	raw	max	3
165	7	raw	max	4
166	7	raw	max	5
167	7	raw	max	6
168	7	raw	max	7
169	7	raw	max	8
170	7	raw	max	9
171	7	raw	max	10
172	8	raw	max	2
173	8	raw	max	3
174	8	raw	max	4
175	8	raw	max	5
176	8	raw	max	6
177	8	raw	max	7
178	8	raw	max	8
179	8	raw	max	9
180	8	raw	max	10
181	9	raw	max	2
182	9	raw	max	3
183	9	raw	max	4
184	9	raw	max	5
185	9	raw	max	6
186	9	raw	max	7
187	9	raw	max	8
188	9	raw	max	9
189	9	raw	max	10
190	10	raw	max	2
191	10	raw	max	3
192	10	raw	max	4
193	10	raw	max	5
194	10	raw	max	6
195	10	raw	max	7
196	10	raw	max	8
197	10	raw	max	9
198	10	raw	max	10
199	11	raw	max	2
200	11	raw	max	3
201	11	raw	max	4
202	11	raw	max	5
203	11	raw	max	6
204	11	raw	max	7
205	11	raw	max	8
206	11	raw	max	9
207	11	raw	max	10
208	12	raw	max	2
209	12	raw	max	3
210	12	raw	max	4
211	12	raw	max	5
212	12	raw	max	6
213	12	raw	max	7
214	12	raw	max	8
215	12	raw	max	9
216	12	raw	max	10
