ASV	length
645e348419e5fa8a9b9386ab992f8664	135
34dc74e728255c8185d08587ee2751bc	134
6c442eec86bacb89de43a7ce63065355	134
ba24ff5cfc60cabc551496ef05df4b07	137
8a56d248fc95a61fcdf19dc67450c1ee	138
b2a316975fcfda022afa8fa7d70dd980	134
22b7e53a299fde9ab276a2dcd0f8b13a	136
e0d62f09059c64a8ea0c5e4d4f3d2779	137
e712a04b9464ca96442c39a562e3c9da	138
0c5bd7d897d5f5b3c247f89ccb33bbdb	136
a87e0aef847d6674f8d9ab611e6543f1	134
bfc83110d9b0d384028f3219f6868428	136
a8c2c9ccccd35e6a5b2b901d12c7dfab	137
2218aa5febb42315dba4a4df3611a2f0	138
c0d8ef7f5cf5814d02041cf6bc075120	138
44cb67eacbfee5f6f87158d7088ad8cf	138
3b3a243c4b8e7e8e629c9f7a2ae04bcc	137
1b406af6547efc6993fce6e095c97210	138
65cc0460a35fc338514d30f47cc2e441	137
bef11bb4d3aef587fa13a8a9f84eaf84	138
646e4728f6518c35ea23556df0d972e4	138
657b99d95c94f97c43d0833b183e66b3	137
e3fea9353d090aecbdf5d8e8985af6eb	138
ec0e8b481b77db630882f41d9677e498	138
af7cb6e2814f91dd48f58aff3e8110eb	138
b2424232763ce8ea55aafed5ee2ed8d7	137
a72e2085758cfd5fc5057374c459aba2	138
148f3cd73a8682f45ef6a63d54ac0025	138
f0004afaa5130aeccd20eedb3c51865b	138
4f8bcaea6823a0d2ddcccf5f46c6560a	138
413bb4136d54bb1d2cec0cd62422832a	136
be832128bb9a13b76f81244d2be93d29	137
3deac3674a7220fde7bb986a8d937ae5	134
2613fa5b5c632aef81017234eb0389fe	136
26961c72f90ea9bfc913646727da4326	135
7d9586a1b10de1915d6ab307bc1e3f7a	138
30109dadc4e3ed1015ca5ca8f7b19692	138
4634559c13a7e95b43ce2ff0ad4cfa01	135
13b81a5b678b933a745efc482ec51616	137
d9ad3b8b7d0d7b4d66f568f3f64121ef	134
97c029645ba5ebac7c211a6d39d93b5e	137
7e499aaddb096a662c07e3773776db9b	135
d618eeb3e502a1d9bf722e89565980c7	138
185aa83cafd68eb31cb3b1a5d8da2837	137
47d30a7a3ad79dc82e1e6b343c316105	138
55b02f21c096c4b761dfc52875fbfc98	137
332b292963b238ffa745c50b8614c8eb	138
45c04ec80d99e9a8e0692c88af65756d	136
3bf6b14b25b785c427ab32b31c704930	135
5ce81347d590669d4fee865f9aee863a	134
c70e97383847d944e0fb6aa5ad9520d9	135
4fc92c920f2095ef037636af76896c7b	137
712618326d12b0a6f04f2da0ae614e89	138
0efdb83aed8b32cbc0a64e609f73566c	137
4a43fbc0ae0d5336c8c6e306e10ffb56	138
1864a316e5062faa472482fb333722ed	137
1e2ae097746ee22e741240538276f773	136
150d85fdb2869deec635262a9788ceb0	138
af3dd35c76726cf113fed8e8c48c68f8	135
0c4b419099b8eef954fd1e5c96d31d4e	135
62e49b6c328f84354ffa439a2995d89e	138
8c0e80ddbd40dfe19a6c4c301e7285c0	138
d887493154ca1ea167ff7a02a0a9b8a8	138
3af30a323621d3743596a5feaa109acd	135
0438842f2ee0549e4bed256b91c9f776	135
5b05da78ea81bea0e7174e7c164e25a6	137
43f9e0c7364b7fdd9438deaa004eb34e	135
37d8375eecf13738abf5e82802e3dc7d	135
4fd4e30c36cb97bb9f945d05409b3801	138
2161e0c419b44e4e24937347d9ceb934	138
ddbe0ab56aa48c5127a5dcff577d6f58	135
4cfa868afa4e53bbef79db195961c734	137
3a1f0500558955767dfd4b0a86ee4159	135
a6392629e105765b503c28e43ab0203b	137
bbea78f4d0d230b80e796ed5d04c4730	138
e064440ece3709d120fb255f25c8625d	134
697ef55de235a4ae1f0b4a649578f035	136
d31b9760cecac45b3e804b6932a088c5	134
c2297c091fc1cec3cc1dd6831c84ed07	137
e6c24aa246c6b7c0adcf758d19e752bb	137
1d25f57d57dbd4320e5fa1285b87d8f4	136
71214ff96557c1fba9407e97ebe4a376	134
f8419eb04c49ed088fb5f6f96b527e52	138
85e594eced9575aacc27bf80d6eb3ceb	134
781ce201f62c6204de06727aa7188b3a	135
5553e142858f59291de61a931288b612	134
9ebef674a541fb6d7e68c8ab0458b8ce	138
95e92ce5c81522d2f03fedccb375afc9	137
c17b9d1c2139d05332994d9d2a140f7b	136
f2a38ed287fea07d10425afd9409d131	135
ae886b72f882635694c088e5c7a140a3	138
57708a95c8a4e6f7075398f360d0a876	137
2f674013880383f22d5ae50f5668b1be	135
dd93dfa88190507184c7568e3ec77d21	137
fb47835d8e5c5708d7b649b5154f2d24	135
0831eb2acdbde4b00afc8a63999d7edd	138
b7838598ef6f540e3794c2233e713209	138
2a18d11e167bea7c69198bb2c34234b2	138
ce3d660ff25a91dd0e45bffd5b1da29c	136
79368fb6a4e00d594784a65ef61a8b1a	136
7854e17fb214c554d59afa93ba2fcd8c	137
1cdeffebf493d2104c40db58cae024e1	138
96d072ef489435ebf69a3f9c07f7f1b8	135
626273edbd6ef482a9f718e2e1574e0e	137
1b60de4028de1f6f9070fe5e3860f070	136
dda306ccfb003c4b202f9b772124ddce	138
a58e6bc96935e2be34132d8d263d9693	138
abad1db28d3f79de944e46c6f2e657ac	137
b8d7d1986cba0c55fe2257eea6cf23ee	138
bf19e6b256f2610e026bdb1ae5f20755	138
0c3fdbca75948c1a16d50192d9df0407	134
ba361d7ebed0552adce4add775e3cacb	138
050f19c89e30addd67b8b8437a3ed7cf	134
df89d8fb03d6214677974e7e87bd9f03	136
396d21a5e9c4fc3f0a8bbc1448a797da	138
0c305dd1613a425cea45f08ad2462158	137
b79965a5c6ef86db6b5bdd4b18b67e3b	138
75a6e8b8117b1d634efcf37dfe71fa28	137
401125d28a076aabca6280ddd8dfb1ff	137
68827d7650f73c07d759381236e4ff91	137
5ca8225da6a96dae1ca26c15ccb1009c	138
c544cc84c535d5f1400c2f8dde61b36d	138
e00439b4c3dd16815d6bcb41e0110ed5	138
e8cd65e43f735c2099d58bc8754d5a09	136
c90dc1b8f3e1f9f38e80465a8eb14ef7	137
a052edbefcc3cddd3964f7245ea24f39	138
c9265f81b825eae3330e4e7a7e0d07a9	138
728983971a87ce5e67dfe22b4ba8ee69	135
44a46c573cf1409a55bae125a47384d5	136
4001a42634fc9cf9145899d62807f885	138
c7d76138156b0bedbd07bde4a9d80a01	136
de3d589d57780fa0ccd3e54f027e2f9a	136
53dfd8db4a0afb6edea4bf0d80251c86	137
9ac309542e618c8fd88db51f73ea2933	138
dcf6913e9ea65621b5069e196a109d35	134
68704813c282ecaca15b1c6e4e3386be	135
4142b43a89ea1da0a71bf828a63e9630	138
871c85b34d1bbbaa7fc634063dfae143	137
29ff5f935d4fc163d699bcccc3accb17	136
f9c791bdccbb9ed9e6a5100f95edbcce	138
b00c3d5279a1c0372b9133246a3310ef	137
f1810ad35f4f0798600f1a424476badf	138
c75261e37696e6f208399915cbdb4658	134
726fb43f80075d3c0ed458e2c5056d47	138
6d2bb4ca0536209dc675996b0a4f51f3	137
e691aab05b65c559d21d76d1a48d7bd8	138
0670312a766619599815241b4281c099	134
25854ee74eb7e1654630ca69aae4c0fa	137
81831c24439cbce2a0c31f9ac31ebc45	137
5237526480990ca1ef6119deba91286d	135
6895a654312c313aa478bec7c4fdfe9a	136
29d7dc99b6324c5c7b79d7469782eec7	138
ecd3a49b9ecbfde5b622e3dd9f7ce7ff	134
2b52f3a48e7329e9e1e4452bb3a90284	136
b30277d6697936b971c074191fecd2fd	138
57fe0f9aa41c9a5a4044df24e6fe95ba	138
eb275647003c13f545ba82149b5c3b92	138
374f23d4dd4e486af29e68d090a2e875	134
ac4b62d39b046963af5baebe2da3af27	138
5edcf104f0fa08a3a6f2862e5b5e4078	137
d1a1051820f77a2bd2fc29efb0f0f3d6	137
aa8ac731c42dfc1d200c3043ce2860cb	138
b9e56e4b721e383df9311bfab3a27c0b	138
f607d3d6d56f8353dec2e194b95b20b2	137
4f02267657174482b1394c61db7a6fc1	136
37bd1f3d25d176cb1506dcdd59456351	137
2c5d3bbd2c7f91cac8ee85b9ddc181e7	136
f9fa85260cf2c59cfa122767766626a9	138
30847f16e4df5bfb3e94c16f6fdee2c7	137
0dedfa9ae148768c2aaad40d7ec93c9a	138
7be34706c97741da67a6caae3d17b821	138
0bad4d9a23590de349c8c24cc9a16fb4	138
fb3a36f7170a59a61f542dccae430100	138
bf650d5fd799fdfdd74ae1f0fca6ee49	138
5fd707b9ede853946365c5f5cb8e3f1c	137
f5616dcb005e9b02cc3fdcae2388c4b0	136
9ebe1d332e92b13bb00122e1be6be978	137
75560114f15c6b5b228287bd0d79b2ed	138
35f3ea5186ce3a300b66aa55b01b528f	136
bc3600d931e9d9940b7ba5be9688da92	138
37cc7ae880779a9ef74f595c9637c456	135
f224e761a4ecbbf7fe38c55a4083cb2d	136
634c1f8d24d019745b4a3b73c394a865	137
1d7af466850d3aa64d214b111374bd43	134
d35899a17ee9d92b07ef1e4cd3b5b755	138
804d4204796d0fca21882553f09b1e61	138
d5d9166c82ab1dbc93b00316c79d7283	138
507317da1d9ca15107b3ea2b6be4acda	137
6c786c9deb32325fb2c1921dc99e1cce	136
0f36d729941f4453671d8781fe406598	138
81c2d0b109b1d8278c77aea91a38c2b3	136
efcaf931ce1e2759a51b2eaeda573a0b	134
6481a389083dfaef24b452a92b5ed8c1	134
756a9c5cfb2250b5507b6c43ca55ceca	138
