ASV	bitscore
d30d1094882e534989f0ce29d14ea243	161.8
93ee7fb2e9f48a13ca14ccde1cd22d57	158.2
b760a36cd536e3e02a23315b32723cba	154.1
951683299ee5d47eb6b0907260cf147d	163.3
cf28227ab2bee23d48171c7f30b2c0c9	150.4
fc3640c71af03553d66673000095e2a5	156.6
d4e11950dec61a0162bb11358e836759	155.8
f733484ff3768233763ac0271b5e9aae	160.8
0de992bb8afa2c7b58894edb6f510e85	163.3
d05ddfcc0b1eba82f47926f32732feaa	159.2
261d780447863f673e663cbc0f1090e6	158.6
0b135b1c73b62b5cfad998732155c2ac	153.8
b2cba49662998addc1834ededb8c91ba	158.1
663cd4b3b348e813f1d7fcf32307de75	163.6
891595e2101eb55148e9c5ac9d50365a	159.0
126fff2ae452bd852d68b476665e51f8	159.9
68b8e5994bb9a4398afb6ac9bca5b729	153.4
1a81acc788c632eb21535f82e10730b0	161.2
fcaae2dc68d7044f21a5d7e04628eb94	163.6
522ac123d2c48e18625c1f25fdd765df	154.9
96586cabce6d355a9eb8eacf8c44c034	153.7
d194335876d0ec4b77f148d9e89f2f30	164.4
91ceb7b26371fa3071bb16e142e66da0	151.8
5885084d2375c3f914b1f981e0341e91	166.1
a2561cd5d454421f7fff6d2dc51f2b99	161.6
ab440b2ed4a3fb37495ec1b610eb9c5f	163.6
4befed1896e8e3a1da7c6fd07b3627c4	152.1
961db0e5c8bb6e90e355e4c1aa865ee8	160.1
e2306315939634f64f86ad8085a71041	162.9
018d8a52c219944d93993e065f124fe1	165.2
c8f63a7de9ad9a3bfb0ff3dc94ca4a6b	158.6
a6d45e10840e23e9f9297d180143c1d9	161.1
4a809161cb7bfe6f58de781faee5dfee	158.3
f085a5fa2ae274ce31ea31dac29467f4	153.8
91327da3b0e39a341398fb9588e5f873	157.3
c3ffb5b79d1559111245715f13179188	160.0
458912f7f5d3e2d906db741ac0a9651e	160.6
dd06c182960f1e2c17c86b251b13938a	152.8
173ed0de5d1aa2b7a986c5d3e8211c1b	157.8
0478a667668b18e0cbb7e3de77ad0e15	156.4
a24a3dc58e1d9f08ad921648d27a8527	162.7
6beaccc24209bf6bb47c24b6d850b81f	163.6
6670648d2ff57b7e597a4dad5b4e7212	150.4
97203164e8a618a9e8fa5ddfdd1e83c2	157.8
0c14f4753ef4de8fd61ca779294cece4	163.6
f6509be0e578ba63cf6c26c45b41c2df	163.5
602380ac73a5d1556512380863eea4cf	162.0
e6f592eab0a0f965884dd61bcacb7356	163.4
37d84bac9616f81ecfeb75ef6578c1a2	164.2
53bbe3dcf3875c1a264b940181433b1a	163.6
44f9dd0a5107e472085bbac51157b77d	165.7
8d08e05db633b87695dbddbbd91c3876	164.1
a2b87e02f50cde1faf969bc3f7b43817	163.2
0000fd8e3f49dfe01948b264f1803437	161.9
8025fbe605246708371c7b9f9644e069	154.3
49eef47c931112329fba2577df6c03dc	163.6
47cf9a40d05508e8429c6c9587048860	161.4
121980da57bc2c34be48edf3a766f60d	153.9
449627ce88b2816682cd103f0a542890	163.1
e8b06ed930a9ef35028e7199e751318d	157.2
79625061aa79e068547dffd3915d3df7	161.0
141db280a4acf68c0ee11f03c707ca9c	161.3
503b90a026bb63ae1d19346d0675a2f9	163.5
be8010edf00479c323274b6862cfb476	159.3
c299cfecb0d036678caee84fbf9d4328	159.0
560a9823fa33871449f57b7472d92a17	154.3
214a2ddf271e33a62b552e779499fa5e	160.7
713e555d6d34075e4fada9eb5b8a7ced	163.1
d4d8128f95c8d4bed3fb629bdb685310	163.5
04d6ec4810affc04647b3e9e7d3fc502	161.8
a4c68e2d6bb027d5572f57c440e4940d	161.0
62e7b08962ed51a56b2f0f05562b263e	160.2
76db004da093131b7fe356d8130df9a0	157.6
ad06cc68d31e533834a76bf0dad7501d	157.2
9953e84891626b79c1697f47048e9bb6	161.8
2ec5994b425cdfa43cc0d93fff34e593	163.4
3a39af933e4eee7e2f192be3a018a63c	167.3
159279c97b05a308bcb3f7a560550cd1	158.1
c53e7d00e08e1b67bccd8614a83f9f95	160.8
6403de6f2fa38649c408aec695bb234a	148.8
b88bd53dff8d5c68b8de0246d047af9d	159.4
804c9b2b77efdaa66d8bbf71c0ec58db	150.0
7bf62fd5d259a7b720643e9ad3be0e75	158.1
8e676a2cd8bba3e74cc1020e008c6359	163.6
492dc9bc1e5fa49624b08ea5afc632b1	164.1
6e80728729b915418745868814e5e870	162.0
703e80ebba85e36f00c4ad22bdb04c1f	164.6
5d1e8995621b7c5018e8abaa7dfe9e7b	162.2
340eb7a7783b6f4c6133ed83b9e683f5	162.4
bea0014b2b141d8bd134d04160d1b0f9	149.2
de3448ed59009f30a12c407b11acdaa8	155.5
3dddcf4b6affbbd6eaa8e3657c4cf04f	172.5
3d9e1cf8a05258aab22c00bd815d93c3	163.9
a8cf56234984021e57612c179211db49	151.5
9b675156b2540ffd543f6820b8fafb9b	166.7
d0aefa646f5d0483f8bc7e2d06ddd2d6	157.5
0b8c1eb1125282f7788cb16f46ecb0c9	151.0
8f8a5ccaf92f519dee8ee1e9a2bb7d62	155.3
8819dd90fbcc5b7f87c87a592033df54	127.8
